model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
TRANSFORMER,B,2e-07,15,True,False,TDD,vanilla,0,[0.31604376 0.49818924 0.65924543 0.7768731 ],[0.12423051 0.21285374 0.23498343 0.22184925],[ 74.7558  125.5393  177.80823 220.04065],[29.653883 57.049347 79.133125 92.690285],[7.7907367 7.384897  6.896139  6.4529514],[0.6368192  0.93021625 1.1973048  1.3224628 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
TRANSFORMER,B,2e-07,15,True,False,TDD,vanilla,5,[0.29673803 0.4748386  0.63575673 0.75533956],[0.12301436 0.21092221 0.23347552 0.22797275],[ 70.48042 120.31271 172.13641 214.23666],[29.607277 57.264053 79.43575  93.63356 ],[7.817546  7.427187  6.960443  6.5180464],[0.629171   0.91362286 1.1771095  1.3358365 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
TRANSFORMER,B,2e-07,15,True,False,TDD,vanilla,10,[0.29084188 0.46766883 0.6295325  0.74834746],[0.12303695 0.21129608 0.23616746 0.22964579],[ 69.242424 118.668816 170.62798  212.35727 ],[29.677513 57.26242  79.87443  93.97343 ],[7.826937  7.4422274 6.9723115 6.540701 ],[0.62525976 0.91064024 1.1917998  1.3368254 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
TRANSFORMER,B,2e-07,15,True,False,TDD,vanilla,15,[0.28832978 0.46473324 0.6268219  0.7458773 ],[0.12284482 0.21249297 0.23648342 0.22988018],[ 68.73845 117.91799 169.84613 211.5681 ],[29.547512 57.031418 79.51698  93.51949 ],[7.8301964 7.44917   6.9831753 6.552939 ],[0.6238205 0.9089369 1.18661   1.3331256],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
TRANSFORMER,B,2e-07,15,True,False,TDD,vanilla,20,[0.28762162 0.46429652 0.62610334 0.7455806 ],[0.12283939 0.21243279 0.23627526 0.23061517],[ 68.60028 117.87298 169.84735 211.63326],[29.628523 57.202274 79.75081  93.80735 ],[7.8312516 7.450451  6.987009  6.5546236],[0.62310284 0.90842557 1.1776927  1.3309736 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
TRANSFORMER,B,2e-07,15,True,False,TDD,vanilla,25,[0.2875905  0.46395275 0.6257734  0.745323  ],[0.12302133 0.21257436 0.23631428 0.2305825 ],[ 68.57685  117.802444 169.77144  211.54485 ],[29.58591 57.20751 79.77306 93.84886],[7.831123  7.450533  6.9883637 6.5565057],[0.6234753 0.9099682 1.1771866 1.3282591],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
TRANSFORMER,B,2e-07,21,True,False,TDD,vanilla,0,[0.43518528 0.69536614 0.8489698  0.95946866],[0.1610421  0.2351196  0.24083754 0.23613624],[109.03977 183.50264 224.98674 256.0476 ],[46.01298  81.038055 87.4619   94.41554 ],[7.552139  6.689725  6.1254334 5.6569047],[0.6610844 1.1935104 1.2987834 1.3496534],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
TRANSFORMER,B,2e-07,21,True,False,TDD,vanilla,5,[0.41731086 0.675769   0.8318999  0.9441149 ],[0.16041444 0.23914234 0.24332722 0.24023208],[104.63267 178.15865 220.46855 252.32013],[45.74102 80.03442 87.16283 94.32393],[7.585058  6.7591643 6.189316  5.728341 ],[0.65369624 1.1784254  1.290753   1.3504392 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
TRANSFORMER,B,2e-07,21,True,False,TDD,vanilla,10,[0.41167465 0.6699834  0.82682997 0.94060373],[0.16154145 0.24001361 0.24652307 0.24261369],[103.368576 176.6147   218.78828  251.02657 ],[45.83923 80.16513 87.47419 94.74956],[7.5931396 6.7761254 6.2169447 5.753621 ],[0.6519254 1.1686991 1.2806572 1.358879 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
TRANSFORMER,B,2e-07,21,True,False,TDD,vanilla,15,[0.4102462  0.66817725 0.82658255 0.9396912 ],[0.16161013 0.23993555 0.2486481  0.24369536],[103.024284 176.21992  218.72287  250.86154 ],[45.873474 80.18168  87.88908  94.976845],[7.5975337 6.7835803 6.2269883 5.759441 ],[0.6484107 1.1594474 1.2720264 1.3717059],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
