model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.0415039  0.0584961  0.08153463 0.11361503],[0.01428858 0.02188063 0.03653189 0.05801793],[ 7.899696 11.414048 15.805144 22.301311],[ 2.1653876  3.9466414  6.994276  12.035002 ],[8.275973 8.262263 8.243031 8.214768],[0.28921834 0.30230507 0.3161221  0.33083704],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.06389765 0.1134385  0.18581156 0.28191635],[0.02891241 0.07005203 0.12583098 0.20045574],[10.484722 18.966738 33.10885  53.281986],[ 3.5330825  9.194249  20.754307  37.455376 ],[8.1495   8.106071 8.025597 7.895144],[0.40460294 0.4298105  0.4812951  0.5875467 ],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.07951493 0.17215526 0.3032025  0.45144248],[0.0461606  0.1241741  0.22477512 0.3257511 ],[13.674202 30.71584  59.751297 95.92397 ],[ 5.0191684 19.560995  46.034527  73.964005 ],[8.187564  8.110162  7.9460597 7.6642933],[0.4547782  0.49195766 0.5927395  0.8610025 ],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.11178306 0.2648715  0.45404956 0.5929017 ],[0.06294792 0.1883614  0.30522022 0.32389408],[ 17.674206  47.132923  88.43814  131.72983 ],[ 7.8198633 32.90676   63.49775   89.674286 ],[8.079248  7.9177985 7.5840564 7.1749773],[0.45004275 0.5623208  0.8708409  1.1782501 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.1541405  0.36284295 0.56809837 0.71269697],[0.13320376 0.2772618  0.36874402 0.36132836],[ 26.87256  78.10354 133.80359 183.6925 ],[ 15.287388  57.632088  95.94029  120.01656 ],[8.17412  7.858165 7.328801 6.802691],[0.5754351 0.8204744 1.2970248 1.5112802],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.22463806 0.5889705  0.8178087  0.91438   ],[0.14647128 0.3882111  0.45372134 0.35373837],[ 41.72238 125.49115 190.0803  241.13115],[ 31.161041  98.777916 130.74173  153.03592 ],[7.920839  7.179888  6.449976  6.0447693],[0.6130689 1.2352909 1.6830497 1.6720728],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.26282132 0.6286451  0.8724237  0.92979264],[0.19313684 0.39333534 0.45274696 0.31564367],[ 50.541313 139.90358  199.94244  236.45702 ],[ 40.24506 105.6858  122.52541 124.46468],[7.8346925 6.9597054 6.2105627 5.7332506],[0.6745801 1.4299885 1.5713229 1.693712 ],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.30180752 0.6498887  0.855037   0.9540162 ],[0.28123993 0.5083495  0.4795611  0.35897964],[ 61.029774 154.43437  215.95702  259.71872 ],[ 54.440613 126.67963  143.25977  146.15434 ],[7.945006  7.0473156 6.347633  6.0028706],[0.70251304 1.4205557  1.7157906  1.4761219 ],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.3544378 0.699512  0.8922879 0.9760982],[0.30334136 0.4005369  0.41900846 0.29387453],[ 64.75425 156.60608 214.52464 248.39435],[ 56.9598  116.57453 131.54124 129.27449],[7.8005877 6.7583604 6.186995  5.658313 ],[0.72379667 1.5791206  1.5680815  1.5798272 ],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.5980996 0.9899831 1.245743  1.2466258],[0.50797784 0.5861386  0.71064585 0.5540865 ],[112.66477 212.02162 279.30786 295.8938 ],[ 96.24359 143.23628 151.60007 142.97398],[7.5472217 6.4956822 5.8378887 5.5705657],[1.0419787 1.6214061 1.6310427 1.5275532],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[0.9001543 1.2835659 1.4816557 1.3108423],[0.828328   1.1048579  1.3726478  0.52331585],[167.28423 260.68494 306.85062 316.99063],[132.3469  154.07437 152.2216  138.14073],[7.197309 6.092542 5.344571 5.054901],[1.305691  1.6982623 1.6808281 1.5849038],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[0.94697386 1.1097233  1.2806613  1.2197962 ],[0.72864836 0.49132007 0.71895146 0.5346685 ],[185.0662  259.48343 317.6932  328.88556],[164.3769  160.47443 169.73796 144.25505],[6.7757845 6.040691  5.3764997 4.868825 ],[1.5461551 1.5798371 1.5584419 1.5010805],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
DDK8,B,2e-07,3,True,False,TDD,vanilla,0,[0.05083169 0.06744309 0.08820904 0.11704506],[0.01563055 0.02477093 0.03814186 0.05624646],[11.479342 15.209852 19.945772 26.868504],[ 3.61284   5.731138  8.961719 13.766932],[8.079998 8.063748 8.041447 8.008879],[0.40736577 0.41564894 0.42625317 0.43968567],[8.140387 8.142667 8.144901 8.14683 ],[0.4020315  0.40776485 0.41400665 0.42071086]
DDK8,B,2e-07,6,True,False,TDD,vanilla,0,[0.07260764 0.11539402 0.17941114 0.26113483],[0.02451811 0.05032567 0.09247684 0.14727631],[17.049736 27.06942  42.59903  63.54431 ],[ 5.1625204 10.976739  21.479788  36.005413 ],[8.113575  8.065339  7.9842286 7.8613644],[0.38691163 0.40771082 0.4482751  0.5230862 ],[8.200198 8.203735 8.207059 8.210534],[0.37354088 0.3805655  0.3896417  0.39972013]
DDK8,B,2e-07,9,True,False,TDD,vanilla,0,[0.09030078 0.16805254 0.28590038 0.42149585],[0.02691519 0.06794615 0.13589439 0.20732807],[ 21.672857  41.106544  72.57341  111.29118 ],[ 7.643159 21.33392  45.449425 73.145294],[8.1086235 8.007145  7.824424  7.5484266],[0.41449907 0.4224512  0.46142396 0.58209246],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026485 0.41645423 0.42503932]
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.12713611 0.27270275 0.44398594 0.58817786],[0.05851786 0.17013226 0.2695136  0.30223268],[ 26.872604  58.62085  100.497345 141.2087  ],[10.1359625 33.05973   60.41427   79.76379  ],[7.9673586 7.7372284 7.320083  6.8498354],[0.48645467 0.6522389  1.0441577  1.4162517 ],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.1532234  0.33359405 0.5060598  0.63908505],[0.07854655 0.20781396 0.26433033 0.24337922],[ 34.445335  79.71689  131.56992  178.25797 ],[15.766525 49.720364 80.387566 95.81449 ],[8.011918  7.7179203 7.262612  6.8210597],[0.54062486 0.736476   1.1104527  1.3157521 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,18,True,False,TDD,vanilla,0,[0.1850881  0.39735872 0.57535374 0.70968145],[0.10993551 0.2595739  0.30562013 0.27343306],[ 41.732754  96.666534 147.17914  191.84264 ],[ 26.808626  73.694     95.64037  102.0202  ],[7.9408393 7.527989  7.026843  6.5475492],[0.5473944  0.90795934 1.293527   1.4795702 ],[8.1638975 8.175692  8.188434  8.202102 ],[0.48944053 0.50745434 0.51854205 0.5220388 ]
DDK8,B,2e-07,21,True,False,TDD,vanilla,0,[0.24670254 0.5564604  0.76112425 0.891547  ],[0.13714905 0.31868073 0.3695495  0.35965213],[ 58.998966 141.00677  194.33377  232.83838 ],[33.115387 84.630974 96.1608   99.10297 ],[7.866982  7.159095  6.3766084 5.831776 ],[0.524485   0.96914315 1.4089655  1.4109708 ],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
DDK8,B,2e-07,24,True,False,TDD,vanilla,0,[0.28118357 0.59649295 0.77319634 0.87457865],[0.18566209 0.3598589  0.345777   0.26831555],[ 63.765404 143.6775   198.13261  245.26767 ],[ 40.280327  86.897995  96.799576 111.14335 ],[7.750129  6.911953  6.3245583 5.8043656],[0.68183404 1.3562796  1.5394546  1.6210229 ],[8.138821 8.121225 8.131564 8.179233],[0.5049219  0.5401905  0.55457497 0.5767097 ]
DDK8,B,2e-07,27,True,False,TDD,vanilla,0,[0.30880195 0.6115187  0.80683434 0.90248275],[0.21827655 0.33658257 0.33841175 0.2534672 ],[ 73.49423 156.15575 210.66576 247.27008],[ 53.977108 103.019295 108.57482  109.28916 ],[7.762823  6.972687  6.279469  5.6664305],[0.7651602 1.2989829 1.5310733 1.5069607],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
DDK8,B,2e-07,33,True,False,TDD,vanilla,0,[0.49299213 0.796163   0.9818766  1.01832   ],[0.31027573 0.39557853 0.37222898 0.28088915],[111.89344 201.22865 254.03522 269.7745 ],[ 74.747826 117.5546   120.398895 110.12808 ],[7.3659797 6.418707  5.74554   5.356626 ],[0.8420415 1.3274424 1.4265691 1.3851508],[8.113809 8.133947 8.133893 8.112729],[0.5259433  0.55339056 0.55033195 0.5765365 ]
DDK8,B,2e-07,36,True,False,TDD,vanilla,0,[0.49528754 0.81428057 0.9945937  1.0932668 ],[0.41457602 0.5413215  0.47071168 0.34662738],[114.29356 192.02277 241.09453 269.4226 ],[ 94.109406 118.87906  113.71473  102.78795 ],[7.417982  6.5889063 5.9409885 5.277803 ],[1.0090961 1.4638511 1.3901829 1.3930943],[8.202237 8.165164 8.124358 8.063301],[0.48082286 0.5317794  0.5752137  0.61029977]
DDK8,B,2e-07,42,True,False,TDD,vanilla,0,[0.7216577 0.9494904 1.0553817 1.1039729],[0.58288383 0.4221937  0.3687931  0.26937824],[159.0455  239.59361 273.63144 290.297  ],[128.94102 128.3701  130.76097 135.03452],[6.893411  6.0715785 5.554973  4.9272585],[1.4123785 1.4298196 1.2917078 1.2178729],[8.116588  8.1407385 8.108494  8.074529 ],[0.5461969 0.5206076 0.5220433 0.5106325]
DDK8,B,4e-07,3,True,False,TDD,vanilla,0,[0.06382363 0.07901997 0.09734279 0.12341908],[0.01769596 0.02457478 0.03395672 0.04664289],[16.44241  20.415554 25.299326 32.44175 ],[ 4.293624  5.881209  8.436661 12.049734],[8.12507  8.108584 8.087359 8.056597],[0.34454763 0.35287946 0.36183214 0.37331557],[8.20847  8.210395 8.212237 8.213969],[0.3344236  0.33968472 0.345037   0.3505006 ]
DDK8,B,4e-07,6,True,False,TDD,vanilla,0,[0.08848184 0.12496274 0.17698152 0.24310678],[0.02470125 0.0416784  0.07077903 0.10757487],[21.875227 31.355019 45.36585  63.695972],[ 6.6520905 11.6785965 20.798151  33.15209  ],[8.071151 8.022137 7.947217 7.842291],[0.3325642 0.344834  0.3663301 0.407492 ],[8.184885 8.185724 8.186444 8.187491],[0.3219428  0.32802498 0.33519444 0.34295762]
DDK8,B,4e-07,9,True,False,TDD,vanilla,0,[0.11208281 0.1828426  0.2820492  0.3914382 ],[0.03743844 0.08030748 0.14157477 0.21035999],[ 27.746819  45.781475  72.465576 103.02678 ],[ 9.513116 20.712595 38.498814 58.65293 ],[8.046449  7.9442906 7.7692943 7.516608 ],[0.35059172 0.37015823 0.43997365 0.6124017 ],[8.193824  8.191843  8.1865635 8.178488 ],[0.33316842 0.33920407 0.35002944 0.36504003]
DDK8,B,4e-07,12,True,False,TDD,vanilla,0,[0.13253574 0.239964   0.3755396  0.50877726],[0.04265853 0.10814308 0.18482034 0.23174213],[ 32.40552   60.400097  97.958534 138.58994 ],[10.432208 28.619486 52.50096  72.05601 ],[7.977689  7.813233  7.5279613 7.1485677],[0.35621294 0.42127803 0.62528116 0.9167737 ],[8.155842 8.160818 8.163987 8.167347],[0.32843766 0.33568707 0.35014966 0.36756453]
DDK8,B,4e-07,15,True,False,TDD,vanilla,0,[0.1738434  0.3394816  0.49805087 0.62594295],[0.07548629 0.18604118 0.25182682 0.26484886],[ 42.328537  86.06577  130.49898  169.27158 ],[18.28249  50.570553 74.07415  85.35104 ],[7.919481 7.611402 7.150698 6.66367 ],[0.4645867  0.66867197 1.0598224  1.3688928 ],[8.153601 8.155079 8.152278 8.149134],[0.4101913  0.43171167 0.44939846 0.460384  ]
DDK8,B,4e-07,18,True,False,TDD,vanilla,0,[0.21023956 0.4240407  0.58933187 0.7007789 ],[0.09848852 0.24240384 0.293557   0.25748998],[ 50.00518 108.17921 156.748   194.07198],[24.52125  71.54459  92.21944  93.323166],[7.840833  7.3844824 6.8499603 6.401456 ],[0.5108953  0.81296825 1.1535084  1.2533764 ],[8.1320305 8.13783   8.141356  8.146609 ],[0.42991513 0.4332563  0.4316455  0.42852738]
DDK8,B,4e-07,21,True,False,TDD,vanilla,0,[0.21311727 0.42643803 0.60994875 0.74984443],[0.09351528 0.20501097 0.23601879 0.2172353 ],[ 53.619503 115.87874  171.80705  213.26192 ],[ 25.132423  71.7852    99.337166 108.661804],[7.8669677 7.379018  6.765361  6.1610036],[0.45868683 0.7349263  1.0548451  1.2278404 ],[8.166336 8.156872 8.151517 8.130608],[0.39600894 0.41945392 0.43816084 0.45606455]
DDK8,B,4e-07,24,True,False,TDD,vanilla,0,[0.26004162 0.52079505 0.7046673  0.8273466 ],[0.12301897 0.2607803  0.28084794 0.24782911],[ 66.61941 145.69617 205.29974 248.61772],[ 34.186928  87.23323  110.60066  110.21419 ],[7.8301005 7.164484  6.507445  6.006391 ],[0.4920526 0.9180257 1.2252302 1.2827299],[8.199759 8.205041 8.207555 8.21912 ],[0.404768   0.4265331  0.43737403 0.43781117]
DDK8,B,4e-07,27,True,False,TDD,vanilla,0,[0.30357438 0.58847857 0.7494019  0.8456819 ],[0.16880204 0.3010849  0.27973884 0.21203026],[ 75.7569  152.59921 200.72993 234.26776],[41.75199 86.06987 90.38586 82.77573],[7.6781354 6.8250694 6.170304  5.7331977],[0.58084434 1.1566437  1.3819647  1.2586532 ],[8.149215 8.11694  8.104062 8.116798],[0.3806188  0.3709262  0.37762547 0.39070326]
DDK8,B,4e-07,33,True,False,TDD,vanilla,0,[0.45911157 0.75172096 0.95374084 0.98663634],[0.28084275 0.32612294 0.3624565  0.27139616],[122.89299 219.84471 280.41345 290.7975 ],[ 81.41825  121.92948  120.248886  98.97215 ],[7.4720135 6.511195  5.9101424 5.4844737],[0.82639796 1.2563953  1.201687   1.2000384 ],[8.246285 8.265709 8.252912 8.226303],[0.46850497 0.45464966 0.43810764 0.45476887]
DDK8,B,4e-07,36,True,False,TDD,vanilla,0,[0.53589    0.83308214 0.9711747  1.0072211 ],[0.34799808 0.4080297  0.38432604 0.23669077],[125.51619 209.12228 261.77472 289.63553],[ 79.110855 100.643616 103.201485  96.47686 ],[7.1078453 6.131923  5.573282  5.2111025],[0.94689435 1.3819528  1.3170658  1.1012973 ],[8.057566 8.079075 8.129921 8.168677],[0.40291405 0.39826265 0.40041897 0.40959847]
DDK8,B,4e-07,42,True,False,TDD,vanilla,0,[0.6845991  0.91537017 1.0381541  1.0345339 ],[0.47247687 0.49358052 0.3869301  0.22888839],[167.33275 235.90176 272.09143 293.40616],[118.57045  123.951546 108.42804   99.972916],[6.8770843 6.129974  5.632545  5.2913237],[1.1997248 1.3015232 1.2406417 1.0440022],[8.131211  8.1205845 8.131761  8.168282 ],[0.45830318 0.46788168 0.48357803 0.44281054]
DDK8,E,5e-08,3,True,False,TDD,vanilla,0,[0.01527868 0.02135998 0.02709586 0.03495235],[0.0039998  0.00668616 0.00927365 0.01293167],[ 4.4737997  6.2563777  7.925067  10.213138 ],[1.2570041 2.064451  2.8452232 3.90856  ],[8.2561455 8.246243  8.236692  8.224649 ],[0.10718437 0.10795358 0.1088623  0.11069304],[8.275205 8.273342 8.271564 8.269935],[0.10735612 0.10797671 0.10877378 0.10978284]
DDK8,E,5e-08,6,True,False,TDD,vanilla,0,[0.01945692 0.02983798 0.041498   0.05571546],[0.00511565 0.01013784 0.01714369 0.02574736],[ 5.662031  8.694472 12.102055 16.324814],[1.518114  2.9892914 4.9959393 7.570234 ],[8.251847 8.239177 8.22439  8.206532],[0.11317272 0.11542175 0.11897264 0.12336373],[8.276046 8.276881 8.277935 8.278976],[0.11304259 0.11515557 0.11746033 0.11958142]
