model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.01032483 0.01070025 0.01169841 0.01303427],[0.00243165 0.00241344 0.00369288 0.00499151],[2.7107675 2.8967788 3.0870874 3.371556 ],[0.58469623 0.660293   0.7528985  0.88488054],[8.327613 8.325604 8.323856 8.321677],[0.190094   0.19463447 0.19953959 0.20480582],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.02720934 0.06190368 0.11098263 0.18465811],[0.02415895 0.07791714 0.13529123 0.34406886],[ 4.845681  9.005217 16.439966 27.21157 ],[ 1.8803015  4.620289  10.333385  20.121477 ],[8.192245 8.175049 8.148533 8.115794],[0.55144733 0.61574847 0.68072015 0.7482776 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.15475266 0.28024822 0.46400985 0.6274049 ],[0.3504939  0.30371752 0.39209914 0.4442441 ],[ 14.494392  36.266293  79.205055 130.73834 ],[  9.725418  36.14194   76.88333  124.495705],[7.8672276 7.7764907 7.572178  7.2501497],[0.98556644 1.0820006  1.2260588  1.522517  ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.01742783 0.01800775 0.0182006  0.01937365],[0.00192476 0.00176543 0.00219674 0.00314437],[5.1015177 5.3581843 5.400857  5.652012 ],[1.654237  1.8273711 1.9129512 2.0300765],[8.254688 8.254421 8.254681 8.254469],[0.5154625 0.5158432 0.5164128 0.5170932],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.03396459 0.05958522 0.10312369 0.13333121],[0.01382721 0.04583683 0.1561656  0.09945233],[ 7.700732 11.262844 17.488535 27.042322],[ 2.8354988  5.04333   10.134088  18.968636 ],[8.125111 8.111112 8.08751  8.055999],[0.62718046 0.6755285  0.7286982  0.78431505],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.11026597 0.3065078  0.43245086 0.6315366 ],[0.14467543 0.91093564 0.48907873 0.43963733],[ 17.888151  41.04573   82.750725 131.56358 ],[  9.917677  41.944206  84.69877  122.56104 ],[8.004449  7.8804126 7.588058  7.220435 ],[1.0062872 1.1112919 1.3528501 1.4608495],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.00981421 0.01045938 0.0106943  0.01154974],[0.00337008 0.00344387 0.00351718 0.00363384],[2.6769629 2.9137042 3.0045025 3.2710276],[1.0594897 1.1180086 1.1511927 1.2185608],[8.205155 8.20543  8.206187 8.206539],[0.3538279  0.35501608 0.35632348 0.35773084],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.02210358 0.04041505 0.06752023 0.10565014],[0.00898982 0.02295336 0.04242842 0.0740564 ],[ 5.232017  8.676683 14.316176 23.033453],[ 2.3091621  4.0882835  7.8373933 15.19869  ],[8.150601  8.1370125 8.115332  8.087716 ],[0.6222245 0.6752869 0.729447  0.7826599],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.06443275 0.14800848 0.3063822  0.4906823 ],[0.0474984  0.12407372 0.27255896 0.4052749 ],[ 12.352661  29.719404  65.71841  116.53505 ],[  6.431887  26.328161  61.559696 108.60861 ],[7.9856396 7.9259477 7.770613  7.4967012],[0.93303466 1.0184124  1.1816003  1.4076842 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.01287857 0.01379739 0.01584464 0.0193791 ],[0.00249712 0.00297354 0.00530607 0.00889171],[2.8983853 3.1444714 3.357059  3.809715 ],[0.48800418 0.51554537 0.6071528  0.76703787],[8.315476 8.315204 8.315045 8.314233],[0.13173248 0.134148   0.1369692  0.14018156],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
