model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.04353064 0.06037996 0.08455965 0.11815772],[0.01529174 0.02327025 0.03671034 0.05775589],[ 8.429773 11.771218 16.640697 23.578629],[ 2.4373164  4.3698325  7.6875863 12.713854 ],[8.273536  8.2598295 8.240384  8.211834 ],[0.28945455 0.30251297 0.31594402 0.33029974],[8.310017 8.311025 8.311322 8.311014],[0.28663874 0.29886186 0.31123886 0.32331756]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.06785809 0.12344828 0.19495302 0.29039785],[0.03097938 0.08323556 0.12428157 0.19349013],[11.275416 20.449873 35.804264 56.846146],[ 3.7298796 10.076149  22.433863  39.322025 ],[8.146192 8.09851  8.012444 7.875802],[0.4050263  0.43020636 0.48471564 0.59847754],[8.200852 8.201836 8.201868 8.201473],[0.3916575  0.39977843 0.40850884 0.41598985]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.08296616 0.17965174 0.31073138 0.45708588],[0.04356218 0.12753676 0.21749087 0.306052  ],[14.574111 32.669476 63.08465  99.22452 ],[ 5.534928 21.833275 48.33405  75.308846],[8.184131  8.101497  7.9294972 7.6320686],[0.45533448 0.49529195 0.605328   0.9147436 ],[8.251503 8.261046 8.269067 8.268887],[0.43901262 0.44828582 0.46303815 0.4847499 ]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.11348607 0.26635557 0.4559614  0.5960123 ],[0.0617699  0.18205407 0.29601234 0.3183418 ],[ 18.282873  48.32504   91.56389  134.87518 ],[ 8.165494 33.610405 66.08604  91.1251  ],[8.077533  7.9089055 7.554557  7.0879064],[0.4484454 0.5709639 0.8997258 1.3377838],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534223 0.456648   0.4968093  0.52424604]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.14853272 0.34830847 0.56433314 0.71335846],[0.14687935 0.25344315 0.34820235 0.34940442],[ 25.454294  74.92842  136.44695  187.49084 ],[ 14.058746  55.78825   98.35328  123.28848 ],[8.180881  7.8667665 7.259236  6.7278233],[0.5731525 0.8422006 1.4079785 1.5821463],[8.301512 8.301376 8.295099 8.286509],[0.5188588  0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.220403   0.57398283 0.79705584 0.90432775],[0.14478606 0.3779947  0.40504834 0.34578574],[ 40.366177 122.299866 196.1006   244.32568 ],[ 29.079477  95.444405 135.17049  152.95293 ],[7.926934  7.2576246 6.469266  6.0145836],[0.6140981 1.1217481 1.517557  1.5515742],[8.143847 8.165355 8.19014  8.226463],[0.5570067  0.5532856  0.5880717  0.64253396]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.2540175  0.6396421  0.8693758  0.94628584],[0.18754129 0.43057892 0.46834677 0.34316084],[ 48.322838 140.7868   203.35916  242.01385 ],[ 39.86535 108.56408 126.24027 128.273  ],[7.8478823 7.014091  6.189331  5.655984 ],[0.66308737 1.3080392  1.616499   1.6471003 ],[8.123272 8.136701 8.135805 8.15118 ],[0.5637358  0.5555875  0.58310056 0.62311333]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.3034819  0.6514364  0.85509455 0.936158  ],[0.3004027  0.48365995 0.55021954 0.32896954],[ 59.461323 156.21507  216.14293  256.41806 ],[ 56.81722 133.45874 140.66899 142.70268],[7.9668336 7.083783  6.3336444 5.952223 ],[0.6547665 1.3381971 1.6596812 1.5762845],[8.270131 8.258452 8.255482 8.262504],[0.5118271  0.51376563 0.5234589  0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.34879482 0.6997166  0.8878692  0.97745955],[0.268688   0.41067195 0.49546677 0.33243802],[ 65.36858 157.45218 214.91467 252.56206],[ 58.70309  115.980385 131.91939  128.83072 ],[7.794544  6.7297297 6.1295834 5.559609 ],[0.6955326 1.6215979 1.6439135 1.6043544],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433 0.6523984 0.6741813 0.6614096]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.56486505 0.9467359  1.1457758  1.2839539 ],[0.4655898  0.5850438  0.6137841  0.72197306],[108.25014 207.6866  266.4932  295.43958],[ 90.8082  139.69704 146.58112 144.34334],[7.5545444 6.598125  5.971605  5.4708557],[1.0853475 1.5268435 1.5444933 1.5758628],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[0.86974657 1.2074603  1.322106   1.3330934 ],[0.8619639  0.7572942  0.57393575 0.5239855 ],[155.42001 257.6393  301.04077 321.97266],[112.97556 147.16432 146.71829 145.683  ],[7.2018795 6.0442595 5.447043  4.7368183],[1.2938195 1.6956414 1.5824668 1.662576 ],[8.266978 8.223077 8.203336 8.203679],[0.6390856  0.63954604 0.61311203 0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[0.90908974 1.2067853  1.3240323  1.2950255 ],[0.6636553  0.6425941  0.7008548  0.53155345],[176.5378  271.55792 316.05807 340.5527 ],[154.37317 161.39088 169.34991 159.5302 ],[6.8384986 6.0376964 5.4988146 4.9029016],[1.5004929 1.5043823 1.4461377 1.6101072],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.6257369  0.63968194]
DDK8,B,2e-07,3,True,False,TDD,vanilla,0,[0.05551562 0.07175877 0.0955375  0.12648228],[0.01782614 0.02752924 0.04223194 0.06174868],[12.512408 16.105265 21.523884 28.846313],[ 4.0913763  6.3261204 10.024498  15.138527 ],[8.074734  8.058231  8.034106  7.9996395],[0.40861577 0.4168163  0.42817402 0.44283348],[8.140387 8.142667 8.144901 8.14683 ],[0.4020315  0.40776485 0.41400665 0.42071086]
DDK8,B,2e-07,6,True,False,TDD,vanilla,0,[0.07746624 0.12212206 0.18885858 0.27257547],[0.02513158 0.05257826 0.0941708  0.14560592],[18.290255 28.717196 45.166798 67.089615],[ 5.453971 11.555175 22.253273 36.659443],[8.107927 8.056271 7.971604 7.843609],[0.38699907 0.40886092 0.44938654 0.5240639 ],[8.200198 8.203735 8.207059 8.210534],[0.37354088 0.3805655  0.3896417  0.39972013]
DDK8,B,2e-07,9,True,False,TDD,vanilla,0,[0.09505309 0.17447451 0.29529956 0.42956325],[0.02650309 0.06713793 0.13583966 0.20402317],[ 22.813154  43.02788   75.95017  115.06123 ],[ 7.6675367 22.035135  47.26568   75.076126 ],[8.103553  7.998223  7.8075366 7.5197115],[0.41567045 0.42249033 0.46306705 0.59142864],[8.216351 8.215251 8.214624 8.214304],[0.40763524 0.41026485 0.41645423 0.42503932]
DDK8,B,2e-07,12,True,False,TDD,vanilla,0,[0.1304941  0.27202457 0.44705305 0.58609533],[0.05910373 0.16481514 0.26097205 0.29082957],[ 27.705961  59.466835 102.53598  141.60345 ],[10.413599 33.986107 60.937557 78.78048 ],[7.9634533 7.7341914 7.3154435 6.855391 ],[0.4873715 0.650733  1.0381252 1.3813928],[8.120098  8.1142645 8.112743  8.113856 ],[0.43833014 0.4555621  0.47286943 0.49387443]
DDK8,B,2e-07,15,True,False,TDD,vanilla,0,[0.15077218 0.3245982  0.5076268  0.64399683],[0.07223382 0.19544664 0.25354156 0.23962279],[ 34.049206  78.64196  134.59412  182.26697 ],[ 14.519741  49.355568  83.42976  101.26981 ],[8.0149355 7.7326665 7.2670226 6.808412 ],[0.53672683 0.70651704 1.0415423  1.2796612 ],[8.197627 8.204034 8.217083 8.230654],[0.48526046 0.50316983 0.5246719  0.5439685 ]
DDK8,B,2e-07,18,True,False,TDD,vanilla,0,[0.18182169 0.39274913 0.5901717  0.71917915],[0.10039604 0.251538   0.30794117 0.27380198],[ 40.44477  94.94402 151.28404 195.3658 ],[ 23.77353   72.37941   95.75058  102.428185],[7.945007  7.553003  7.0116343 6.520294 ],[0.54701877 0.8581786  1.2523679  1.4256934 ],[8.1638975 8.175692  8.188434  8.202102 ],[0.48944053 0.50745434 0.51854205 0.5220388 ]
DDK8,B,2e-07,21,True,False,TDD,vanilla,0,[0.24627647 0.57069665 0.77526337 0.8951476 ],[0.13818905 0.36231148 0.42907804 0.38468802],[ 58.232056 142.3306   198.34032  234.90456 ],[ 32.821274  88.691666 100.71929  101.12221 ],[7.873686  7.120703  6.3287935 5.7641945],[0.5280927 1.0409306 1.426055  1.4411263],[8.188612 8.176667 8.144227 8.140654],[0.44568112 0.44044286 0.4572289  0.47989473]
DDK8,B,2e-07,24,True,False,TDD,vanilla,0,[0.2760054  0.6083648  0.7875091  0.87846833],[0.17576537 0.3825453  0.37108722 0.26349393],[ 62.012806 147.40927  201.967    248.59143 ],[ 37.083447  94.34663  100.45138  113.665245],[7.7608075 6.849886  6.302749  5.703    ],[0.66593134 1.444271   1.5252222  1.587381  ],[8.138821 8.121225 8.131564 8.179233],[0.5049219  0.5401905  0.55457497 0.5767097 ]
DDK8,B,2e-07,27,True,False,TDD,vanilla,0,[0.30021495 0.6048148  0.789392   0.8834398 ],[0.21058346 0.3208276  0.30308697 0.22629099],[ 70.48756 156.55579 208.53249 243.54895],[ 51.016006 106.292244 108.60767  109.90278 ],[7.77587   6.954329  6.274512  5.6615987],[0.7562555 1.322743  1.5753771 1.5849297],[8.195908 8.177614 8.161719 8.149493],[0.58492225 0.5956014  0.5773279  0.5629562 ]
DDK8,B,2e-07,33,True,False,TDD,vanilla,0,[0.48762757 0.77536374 0.9381509  1.023568  ],[0.32677215 0.36604378 0.32587597 0.28308296],[107.22134 198.51285 245.94753 273.92126],[ 73.41121  111.37509  112.85132  115.061676],[7.3985405 6.3890142 5.737665  5.190427 ],[0.8183666 1.380795  1.4795876 1.415992 ],[8.113809 8.133947 8.133893 8.112729],[0.5259433  0.55339056 0.55033195 0.5765365 ]
DDK8,B,2e-07,36,True,False,TDD,vanilla,0,[0.45805806 0.80398095 0.99087554 1.0974926 ],[0.34757394 0.45775524 0.45939296 0.33143857],[105.065605 192.9983   239.67883  272.18655 ],[ 78.367035 116.392555 105.640564 102.06623 ],[7.4641294 6.563651  5.9755583 5.270573 ],[0.97392696 1.4586297  1.3639089  1.3333049 ],[8.202237 8.165164 8.124358 8.063301],[0.48082286 0.5317794  0.5752137  0.61029977]
