model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,phase,10.0,[0.00950665 0.01004321 0.01120666 0.01279116],[0.00212094 0.00262884 0.00346822 0.00544009],[2.581594  2.69102   2.9545074 3.3080714],[0.5102841  0.56774706 0.66595566 0.7973864 ],[8.327696 8.325907 8.324123 8.322233],[0.19005235 0.19463739 0.19956535 0.2048566 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,phase,10.0,[0.02746437 0.06237616 0.11044659 0.16792385],[0.02221782 0.06201829 0.11853375 0.20742118],[ 4.9227395  9.649313  17.134462  28.192486 ],[ 1.8930929  5.1649184 11.423191  20.971739 ],[8.191764 8.173108 8.145331 8.109794],[0.55166066 0.6162993  0.68312836 0.75301296],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,phase,10.0,[0.13574588 0.29303378 0.44810703 0.6161368 ],[0.17605533 0.42237788 0.39396793 0.4058532 ],[ 13.713073  35.84264   77.169685 126.587234],[  8.191306  31.716873  73.279686 117.42343 ],[7.8705416 7.778767  7.579247  7.274834 ],[0.98102725 1.0709156  1.2117821  1.448933  ],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,phase,10.0,[0.01731306 0.0172024  0.0183877  0.01967015],[0.00178948 0.00187831 0.00236832 0.00301207],[5.061365  5.068363  5.3129063 5.672766 ],[1.6380261 1.6932776 1.7856147 1.9459907],[8.254566 8.25468  8.254794 8.25502 ],[0.5152249  0.51554435 0.5161931  0.51715106],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,phase,10.0,[0.03441706 0.0607465  0.09607945 0.13270782],[0.01532718 0.04225467 0.09391228 0.09283202],[ 7.649249 11.770147 17.929817 27.998655],[ 2.832713   5.4830627 10.453353  19.992733 ],[8.124121  8.107827  8.0851345 8.052451 ],[0.6273229  0.67612803 0.7295868  0.7856585 ],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,phase,10.0,[0.10785849 0.28690988 0.44800362 0.638213  ],[0.10073192 0.7050644  0.49225587 0.43772018],[ 17.865767  42.591515  84.01594  134.73187 ],[  9.855155  39.356316  84.1699   126.69507 ],[8.004329  7.8755317 7.609417  7.194404 ],[1.0030669 1.1037915 1.2719417 1.4508482],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,phase,10.0,[0.00965843 0.00967916 0.01011594 0.01093465],[0.00340501 0.00329057 0.00340862 0.00354089],[2.636359  2.667812  2.794503  3.0623848],[1.0775613 1.0475733 1.0798318 1.1519438],[8.205112 8.205853 8.206568 8.207261],[0.35389614 0.35506487 0.35639742 0.35784465],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,phase,10.0,[0.02229233 0.04104776 0.0678056  0.10646749],[0.01006249 0.02379084 0.0424537  0.07386624],[ 5.1443043  8.781471  14.449947  23.312778 ],[ 2.24684    4.1814804  8.15136   15.285312 ],[8.150091  8.1355505 8.114718  8.086159 ],[0.6226682  0.6757979  0.7296601  0.78377193],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,phase,10.0,[0.06245733 0.15115564 0.30624753 0.4824762 ],[0.04421615 0.12669897 0.24468835 0.3697895 ],[ 11.738477  30.361588  67.87482  117.18165 ],[  6.041796  27.254381  66.35999  111.211006],[7.985196  7.9195795 7.76095   7.4648037],[0.93488854 1.0200753  1.1835561  1.450244  ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,phase,10.0,[0.01188822 0.01289178 0.01524735 0.01842963],[0.00261741 0.00345659 0.00516549 0.00830152],[2.7970421 2.9740858 3.2847075 3.8224447],[0.45745784 0.48751536 0.55393344 0.7217665 ],[8.315473 8.315426 8.315224 8.314883],[0.1316782  0.13410294 0.13697395 0.14015174],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
