model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.03245261 0.05086825 0.08288684 0.13120505],[0.02250377 0.02520523 0.03678206 0.04298787],[ 5.747219 10.511035 18.186277 31.775818],[1.2825758 2.4830067 4.6021147 8.600607 ],[8.315279 8.30786  8.298395 8.286274],[0.1902267  0.194887   0.20039256 0.20621207],[8.330993 8.329849 8.328677 8.327478],[0.19007082 0.19461927 0.19951841 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.11006542 0.24481587 0.38457966 0.5087045 ],[0.10221971 0.19156128 0.36714524 0.56062627],[16.166855 42.505905 66.73937  90.11711 ],[ 5.974618 20.349499 33.03467  46.763744],[8.161445 8.118407 8.047297 7.961579],[0.5695372  0.6539798  0.762575   0.87707883],[8.202798 8.202787 8.20477  8.210616],[0.5486621  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.2898671  0.5278129  0.85681516 1.0053825 ],[0.63838357 0.6562901  1.0572299  1.0218195 ],[ 23.097622  55.50361  104.89363  158.6727  ],[ 10.879568  40.89956   84.54254  128.66827 ],[7.8159876 7.6623898 7.3787093 7.0952344],[1.0279772 1.2032171 1.4161514 1.5718855],[7.9305906 7.937528  7.938669  7.9467754],[0.9408091 0.9712995 1.0151565 1.0446168]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.04468414 0.06352086 0.09486298 0.14409098],[0.01623376 0.01973215 0.02959847 0.04170293],[ 9.971465 15.076586 23.48697  37.98018 ],[ 3.755375   5.8578496  9.901186  16.585548 ],[8.233711  8.2261305 8.215609  8.2015915],[0.51383495 0.51374286 0.5145108  0.5154088 ],[8.262489 8.263346 8.264196 8.265036],[0.51461947 0.51503414 0.5156064  0.5163352 ]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.11408088 0.22674246 0.3371958  0.4308675 ],[0.08597045 0.21656129 0.3125426  0.39939022],[21.329556 43.4838   65.85963  85.44822 ],[ 8.654094 23.162502 36.30239  49.74824 ],[8.081243  8.046201  7.9873104 7.916983 ],[0.6434787  0.7040374  0.7756934  0.86116743],[8.144523 8.146372 8.146507 8.145758],[0.6222945 0.6648693 0.7096782 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.2359716  0.48976138 0.6944049  0.925197  ],[0.29027098 0.7686367  0.6295834  0.6626897 ],[ 33.976883  68.91736  113.5972   170.72446 ],[ 13.9711275  54.289875   92.35686   133.44208  ],[7.9084883 7.740498  7.378582  6.9554486],[1.0766084 1.2073466 1.4808214 1.5344408],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242084 1.0625325 1.0865597]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.02974737 0.04532523 0.07207211 0.1152429 ],[0.00889117 0.01400703 0.02335107 0.03460554],[ 7.088241 11.413938 18.977459 31.718008],[ 2.2373314  3.8385942  7.0878797 11.56116  ],[8.183481 8.17742  8.169016 8.157593],[0.3567578  0.35860798 0.36122054 0.36448023],[8.213686 8.214922 8.216152 8.217375],[0.35320455 0.35431987 0.35555044 0.3568935 ]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.08642814 0.17322177 0.26864988 0.35340402],[0.04687636 0.10588554 0.19575928 0.27107012],[17.965673 38.848007 60.81979  81.4634  ],[ 7.4822845 20.317995  34.669247  47.186268 ],[8.103183  8.066586  8.006813  7.9359474],[0.64497566 0.71311635 0.7965095  0.8886955 ],[8.171758 8.174995 8.178912 8.183869],[0.6171444 0.6622209 0.7027356 0.7370156]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.15386982 0.29416883 0.49394718 0.67710435],[0.09967736 0.22841805 0.4068455  0.5400647 ],[ 27.3126   57.26985  97.82227 150.50504],[  9.40139   41.892147  69.48316  111.08128 ],[7.8944902 7.781141  7.5561543 7.231469 ],[1.0014107 1.1294941 1.3374078 1.6237752],[8.039328 8.043646 8.03752  8.038265],[0.9088916  0.95316577 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.047972   0.06997329 0.10723659 0.16188318],[0.026511   0.03142828 0.04415262 0.05228068],[ 6.2473598 10.918478  18.476711  32.120472 ],[0.99913514 1.850647   3.5441198  6.6969314 ],[8.300841 8.293796 8.284027 8.269917],[0.13232733 0.13528794 0.13905267 0.14342418],[8.320241 8.321053 8.321877 8.322711],[0.13149638 0.1339269  0.13672419 0.13986447]
