model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,5e-08,3,True,False,TDD,vanilla,0,[0.05389645 0.09777676 0.166096   0.2351698 ],[0.03430519 0.07333725 0.13848999 0.18520865],[10.351862 21.252247 37.88286  54.271133],[ 5.458596 17.216557 34.948326 46.7819  ],[8.211435 8.205853 8.196491 8.182357],[0.36688522 0.38302863 0.4006928  0.42119542],[8.233838 8.237641 8.241822 8.246357],[0.36562672 0.3805851  0.39700893 0.4147793 ]
DDK8,A,5e-08,6,True,False,TDD,vanilla,0,[0.07937494 0.15625815 0.25061345 0.32801804],[0.04063971 0.09437935 0.16784427 0.22162925],[15.970102 33.96173  55.77947  74.56689 ],[ 7.329328 20.588202 37.69405  51.413116],[8.250267 8.228909 8.191914 8.146968],[0.4487593  0.49182218 0.54230744 0.5976436 ],[8.28204  8.2848   8.287399 8.290143],[0.44220755 0.47809482 0.5148415  0.55173457]
DDK8,A,5e-08,9,True,False,TDD,vanilla,0,[0.11361801 0.23347056 0.38899213 0.52720094],[0.09966452 0.18889822 0.42016163 0.67858124],[18.512148 42.833214 66.11618  86.66495 ],[ 7.401728 21.88529  33.53489  46.06421 ],[8.1904125 8.144193  8.077002  7.998254 ],[0.5611392 0.626386  0.7030043 0.791482 ],[8.232175 8.218963 8.206256 8.19461 ],[0.5494946  0.6048245  0.66238713 0.7200331 ]
DDK8,A,5e-08,12,True,False,TDD,vanilla,0,[0.11026575 0.25784183 0.44367123 0.5880373 ],[0.08349185 0.29390723 0.8335903  0.92707   ],[18.332466 41.466618 64.55313  95.5089  ],[ 7.182768 22.024721 39.576237 57.730183],[8.121153  8.069436  7.9967284 7.8942695],[0.58374506 0.6712342  0.780358   0.9016254 ],[8.1713705 8.169162  8.165635  8.1618185],[0.5680532  0.6353437  0.7046337  0.77285534]
DDK8,A,5e-08,15,True,False,TDD,vanilla,0,[0.12146772 0.27545264 0.41355923 0.6230414 ],[0.09492459 0.25944927 0.43974406 0.7645648 ],[ 21.679863  49.226883  75.290726 107.60625 ],[ 8.154214 24.301752 43.092384 78.50685 ],[8.167732  8.103377  8.02692   7.9037905],[0.74589866 0.8470734  0.96955574 1.1199318 ],[8.229278 8.228537 8.234898 8.246084],[0.716445   0.7802941  0.83712816 0.889672  ]
DDK8,A,5e-08,18,True,False,TDD,vanilla,0,[0.18317105 0.41027245 0.61305743 0.9631365 ],[0.18781514 0.5588598  0.74645436 1.7288364 ],[ 23.268915  51.04911   77.44578  118.47629 ],[ 8.290453 27.207138 48.520535 83.91161 ],[8.082948  8.001607  7.890017  7.7029967],[0.8729157 0.9752018 1.1066334 1.3111582],[8.165414 8.166351 8.164887 8.15692 ],[0.8150258 0.8670547 0.9366969 1.025056 ]
DDK8,A,5e-08,21,True,False,TDD,vanilla,0,[0.1647697  0.31684422 0.5315347  0.75378156],[0.12971926 0.2860109  0.54221845 0.6988943 ],[ 24.47087  50.07523  79.36043 125.84502],[ 8.842159 25.165796 43.922813 70.85821 ],[8.009066  7.9045978 7.7444    7.5259705],[0.95154357 1.0382788  1.1557211  1.306443  ],[8.097888  8.0776415 8.057297  8.0439825],[0.8918794  0.9238005  0.95249516 0.97904676]
DDK8,A,5e-08,24,True,False,TDD,vanilla,0,[0.1729619  0.39427605 0.7566225  0.7545136 ],[0.19868946 0.8348213  1.8190653  0.8337927 ],[ 26.112293  52.210884  90.52127  137.03416 ],[10.327402 34.035725 64.304924 95.421745],[8.160606  8.053161  7.8420734 7.5057287],[0.8240531  0.93535274 1.1421492  1.4815693 ],[8.248478 8.227171 8.202078 8.1868  ],[0.7698817  0.82811874 0.88698286 0.9156224 ]
DDK8,A,5e-08,27,True,False,TDD,vanilla,0,[0.19256397 0.41777956 0.7423646  1.1439679 ],[0.16696253 0.47991744 1.0788094  2.0595722 ],[ 27.24069  61.58915 101.72516 155.852  ],[ 11.06228   38.241283  69.72564  121.361176],[7.9739614 7.8560767 7.6383486 7.308344 ],[0.8685661  0.96498436 1.1348002  1.4123787 ],[8.073305 8.057036 8.035699 8.017298],[0.81447893 0.87702554 0.95565355 1.0139018 ]
DDK8,A,5e-08,33,True,False,TDD,vanilla,0,[0.26318038 0.49465334 0.77559525 0.86803836],[0.33175397 0.79159313 1.0318915  0.6182585 ],[ 33.77605   68.172066 122.25841  189.76257 ],[ 16.76783  46.9788   90.45457 153.1491 ],[8.05403   7.8913503 7.600525  7.190055 ],[1.0410479 1.2726239 1.380427  1.48453  ],[8.180847  8.193614  8.203002  8.1704445],[0.9456215  0.95782167 0.92753166 0.9645922 ]
