model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.05629802 0.11403017 0.20777918 0.30054626],[0.02258091 0.06620572 0.14430073 0.19886144],[11.630725 25.53976  46.722042 66.75367 ],[ 5.394892 17.65047  35.992626 48.220055],[8.273701 8.252933 8.219169 8.172717],[0.2899833  0.30535474 0.3249179  0.3490774 ],[8.310018 8.311025 8.311322 8.311014],[0.2866387  0.29886192 0.3112389  0.32331753]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.08686676 0.18855701 0.31957662 0.4466479 ],[0.04253148 0.10898539 0.1962312  0.28278637],[15.422115 34.69785  59.406723 84.68163 ],[ 5.5766892 15.356895  29.456133  44.205296 ],[8.144774  8.08744   7.9828753 7.832446 ],[0.40611526 0.43558082 0.4944135  0.60916334],[8.200852 8.201835 8.201868 8.201473],[0.3916575  0.3997785  0.4085088  0.41598982]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.10559294 0.26458997 0.45613223 0.64365023],[0.05758586 0.14916185 0.26664516 0.36634383],[ 19.873766  53.113506  94.46801  138.12885 ],[ 5.84566  21.554369 47.300613 73.46086 ],[8.1846695 8.097336  7.924449  7.647171 ],[0.4575934 0.5014462 0.6034094 0.8376921],[8.251503 8.261046 8.269067 8.268886],[0.43901262 0.44828576 0.46303815 0.48474985]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.13428305 0.34361544 0.5747672  0.7332523 ],[0.06299354 0.1947409  0.32836285 0.35580084],[ 22.855549  64.53742  112.54565  162.12878 ],[ 8.187175 33.57458  64.14162  93.644455],[8.0744    7.9037104 7.5693913 7.1360216],[0.45126864 0.56383777 0.8536969  1.1964921 ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534238 0.45664805 0.49680933 0.52424616]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.16347378 0.40709236 0.6237303  0.77350664],[0.13157256 0.27038866 0.35749    0.36357096],[ 29.770227  88.9144   145.26146  197.93854 ],[ 13.665504  50.659092  86.08825  110.4274  ],[8.174025  7.8710546 7.3619    6.8446264],[0.57537115 0.7960915  1.2636636  1.4567368 ],[8.301512 8.301376 8.2951   8.286509],[0.51885885 0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.2345893  0.63555557 0.85999596 0.9580195 ],[0.1471235  0.4079724  0.46139967 0.35763812],[ 42.97477 131.019   194.3881  246.7256 ],[ 30.050526  95.00649  126.43487  146.93457 ],[7.9200244 7.19631   6.3924794 6.025254 ],[0.6120997 1.1881645 1.7858787 1.7020686],[8.143848 8.165355 8.190139 8.226463],[0.55700666 0.5532856  0.58807176 0.6425339 ]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.2695573  0.6511159  0.9062266  0.98030037],[0.18637712 0.37237608 0.44611865 0.3204666 ],[ 51.37427 145.33943 204.14531 245.29123],[ 37.52598  103.122375 121.94202  126.75084 ],[7.838859  7.031944  6.283388  5.8628087],[0.67529696 1.2892171  1.5365381  1.5749042 ],[8.123272 8.136701 8.135805 8.151181],[0.5637357  0.5555875  0.58310056 0.62311316]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.31705612 0.687576   0.9128718  1.0007182 ],[0.28561172 0.5037088  0.48467633 0.34854785],[ 63.905136 162.4298   223.87547  270.84372 ],[ 54.489933 124.97035  141.034    145.48843 ],[7.9418983 7.0454803 6.412485  6.0528436],[0.6977582 1.3802431 1.6217555 1.4045091],[8.27013  8.258452 8.255481 8.262504],[0.5118271  0.5137656  0.52345896 0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.36102572 0.72090167 0.9449766  1.0252948 ],[0.3042597  0.39106634 0.45105317 0.30865   ],[ 66.12707 161.44328 219.86647 257.94757],[ 56.042892 113.38795  126.34196  125.87976 ],[7.801542  6.7541723 6.274557  5.7240977],[0.72643346 1.6088135  1.5050373  1.5167927 ],[8.164666 8.149782 8.144776 8.15001 ],[0.5907433  0.6523984  0.6741813  0.66140956]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.59784895 1.0125558  1.30273    1.3049073 ],[0.48622832 0.5810387  0.73435354 0.59316   ],[113.43748 215.94725 288.19077 307.4547 ],[ 93.54292 139.63432 150.84799 145.76613],[7.5532546 6.5142646 5.897019  5.5719295],[1.0286279 1.6366954 1.5523983 1.5576278],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
