model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,5e-08,3,True,False,TDD,vanilla,0,[0.04274336 0.05446433 0.06909278 0.08903677],[0.02495633 0.0300017  0.04196916 0.05954626],[ 7.427144  9.780985 12.243827 15.790579],[2.39995   3.7055423 5.2779856 7.727563 ],[8.2109995 8.205987  8.199594  8.19017  ],[0.3673627  0.38393858 0.4022873  0.42297855],[8.233838 8.237641 8.241822 8.246357],[0.36562672 0.3805851  0.39700893 0.4147793 ]
DDK8,A,5e-08,6,True,False,TDD,vanilla,0,[0.05755022 0.08582809 0.12109474 0.15821594],[0.0325774  0.05452318 0.08671878 0.10991926],[ 9.995823 14.788632 20.934212 28.97629 ],[ 3.1423209  5.5859356  9.625291  16.391735 ],[8.251167 8.234825 8.211432 8.18261 ],[0.4478646  0.48739696 0.5310294  0.5768477 ],[8.28204  8.2848   8.287399 8.290143],[0.44220755 0.47809482 0.5148415  0.55173457]
DDK8,A,5e-08,9,True,False,TDD,vanilla,0,[0.08378685 0.13080625 0.20129317 0.26546153],[0.07795008 0.11009096 0.18018617 0.2754845 ],[11.870478 18.508081 27.776575 38.39535 ],[ 3.76758    6.9097137 11.931576  18.822498 ],[8.192006 8.150281 8.096129 8.038138],[0.5603379  0.6225075  0.69258565 0.7684896 ],[8.232175 8.218963 8.206256 8.19461 ],[0.5494946  0.6048245  0.66238713 0.7200331 ]
DDK8,A,5e-08,12,True,False,TDD,vanilla,0,[0.08378836 0.15194419 0.23013702 0.33033466],[0.06078287 0.1296241  0.24213332 0.30283695],[13.3817625 23.606585  34.75199   54.553787 ],[ 4.254012 10.641352 17.738398 34.053684],[8.123573  8.078804  8.022573  7.9441566],[0.58298576 0.66614205 0.7607853  0.86534995],[8.1713705 8.169162  8.165635  8.1618185],[0.5680532  0.6353437  0.7046337  0.77285534]
DDK8,A,5e-08,15,True,False,TDD,vanilla,0,[0.09895866 0.17888466 0.2612883  0.41921547],[0.08088172 0.15100096 0.21778162 0.3913384 ],[16.934425 31.184242 49.523766 78.86337 ],[ 7.060912 17.665844 35.213417 66.2642  ],[8.168643  8.111995  8.052802  7.9503174],[0.7442968  0.83579075 0.9360665  1.0497268 ],[8.229278 8.228537 8.234898 8.246084],[0.716445   0.7802941  0.83712816 0.889672  ]
DDK8,A,5e-08,18,True,False,TDD,vanilla,0,[0.1455205  0.27306494 0.40797836 0.587688  ],[0.15634234 0.44381362 0.4731711  0.615563  ],[18.295149 33.273403 54.949444 89.89546 ],[ 6.8180523 16.921602  35.19704   70.805725 ],[8.088357 8.022837 7.927928 7.76642 ],[0.8659543 0.9567614 1.0834389 1.2764736],[8.165414 8.166351 8.164887 8.15692 ],[0.8150258 0.8670547 0.9366969 1.025056 ]
DDK8,A,5e-08,21,True,False,TDD,vanilla,0,[0.140905   0.24439207 0.38755637 0.5207113 ],[0.12316924 0.25963753 0.38818428 0.4104792 ],[20.086697 35.616936 60.95822  96.91925 ],[ 8.7997465 19.801394  38.92101   72.349106 ],[8.009762  7.9125657 7.762837  7.554738 ],[0.9492818 1.032815  1.1341056 1.2692865],[8.097888  8.0776415 8.057297  8.0439825],[0.8918794  0.9238005  0.95249516 0.97904676]
DDK8,A,5e-08,24,True,False,TDD,vanilla,0,[0.13857076 0.27112225 0.4644577  0.57817143],[0.11945982 0.372412   0.59756845 0.54508877],[ 22.216986  40.308014  73.72146  117.47799 ],[ 9.142205 26.24993  57.28285  93.16414 ],[8.166394  8.072864  7.894213  7.6173983],[0.8150335 0.9053018 1.0685158 1.3558598],[8.248478 8.227171 8.202078 8.1868  ],[0.7698817  0.82811874 0.88698286 0.9156224 ]
DDK8,A,5e-08,27,True,False,TDD,vanilla,0,[0.166258   0.30316538 0.52500594 0.8232878 ],[0.1575694  0.2575511  0.5315029  0.89794415],[ 22.435188  44.774097  83.30403  133.27666 ],[  8.66784   27.05654   62.259026 109.85349 ],[7.973321  7.854034  7.6339574 7.2960997],[0.8717448 0.9749089 1.1331189 1.4240329],[8.073305 8.057036 8.035699 8.017298],[0.81447893 0.87702554 0.95565355 1.0139018 ]
DDK8,A,5e-08,33,True,False,TDD,vanilla,0,[0.2348072  0.40700504 0.64848083 0.7674377 ],[0.2558511  0.45396534 0.5918082  0.4468197 ],[ 30.73652  61.0163  118.8818  178.89766],[ 15.876914  43.928886  94.47978  154.6463  ],[8.0559    7.9221263 7.5877967 7.0906954],[1.0324969 1.1523567 1.3250352 1.5563606],[8.180847  8.193614  8.203002  8.1704445],[0.9456215  0.95782167 0.92753166 0.9645922 ]
DDK8,A,5e-08,36,True,False,TDD,vanilla,0,[0.24477595 0.47789678 0.81007934 1.0423051 ],[0.24764788 0.43956062 0.80768204 0.98709226],[ 31.624033  66.90978  131.36885  204.58336 ],[ 14.315453  46.81199  103.58015  159.50583 ],[7.949437  7.7765284 7.397609  6.9262037],[0.9292192 1.0529037 1.3576088 1.5636551],[8.093336 8.087319 8.075918 8.088953],[0.84122604 0.8823591  0.96047276 0.99210644]
DDK8,A,5e-08,42,True,False,TDD,vanilla,0,[0.326648  0.5750442 0.7941202 1.1759514],[0.29349485 0.5424298  0.5738745  1.3216469 ],[ 35.393055  81.80886  144.5523   207.71454 ],[ 23.00967   57.755947  99.27526  148.88266 ],[7.6333966 7.3933764 6.946557  6.468299 ],[1.1679578 1.3469019 1.6441263 1.7370864],[7.833758 7.885902 7.919857 7.917343],[1.0413706 1.023846  1.0217247 1.0423343]
DDK8,A,2e-07,3,True,False,TDD,vanilla,0,[0.04619733 0.05767319 0.07096903 0.088312  ],[0.0214871  0.02786765 0.03632147 0.04620537],[ 8.7892685 10.862322  13.307757  16.851652 ],[2.4287994 3.4124444 4.8595166 7.245622 ],[8.0917015 8.085374  8.077899  8.067051 ],[0.6350226 0.6397125 0.6456937 0.6531539],[8.130689 8.134304 8.138219 8.142409],[0.6257091 0.6282687 0.6312905 0.6347323]
DDK8,A,2e-07,6,True,False,TDD,vanilla,0,[0.05310539 0.07335012 0.09817651 0.12863545],[0.02436674 0.03651825 0.05304395 0.07100041],[10.903164 14.879121 20.148617 27.211287],[ 3.1869898  5.317038   8.834686  13.837011 ],[8.230392 8.217723 8.201334 8.179166],[0.6133657  0.6351336  0.66203636 0.6937045 ],[8.274826 8.279523 8.284403 8.289545],[0.6015826  0.61828643 0.63822275 0.6610321 ]
DDK8,A,2e-07,9,True,False,TDD,vanilla,0,[0.06706484 0.09692392 0.1360346  0.17803742],[0.03723238 0.05805014 0.08420497 0.1094918 ],[12.761122 18.128511 25.99344  35.7184  ],[ 3.630934  6.25306  11.442656 20.103678],[8.158014 8.143657 8.117182 8.086904],[0.69130903 0.7182159  0.7525932  0.7890629 ],[8.212872 8.222125 8.22945  8.234579],[0.6716166  0.6904289  0.7124399  0.73767006]
DDK8,A,2e-07,12,True,False,TDD,vanilla,0,[0.09040312 0.13779831 0.19350964 0.26664057],[0.05822665 0.08879857 0.1380522  0.19602361],[15.215736 23.218508 32.615803 46.704536],[ 4.496278   9.023553  15.4098215 28.967379 ],[8.03917   7.9758716 7.9052496 7.818612 ],[0.7657539  0.8250351  0.88860303 0.9670507 ],[8.118894 8.099322 8.080267 8.061373],[0.72288525 0.7593847  0.79724795 0.8372211 ]
DDK8,A,2e-07,15,True,False,TDD,vanilla,0,[0.10608435 0.17230047 0.24851252 0.35281274],[0.06495833 0.11407626 0.16810817 0.23105547],[16.579159 28.13142  42.754498 67.59578 ],[ 5.579444 13.54344  26.251854 53.235367],[7.867783  7.798331  7.723364  7.6017776],[0.85366184 0.9291323  1.0114007  1.1358144 ],[7.960368 7.953955 7.952423 7.9545  ],[0.8137213 0.856927  0.8997762 0.942242 ]
DDK8,A,2e-07,18,True,False,TDD,vanilla,0,[0.10324177 0.170096   0.26046428 0.395963  ],[0.05336627 0.09835041 0.16735762 0.283504  ],[19.596684 32.04949  48.96167  77.37937 ],[ 7.6785874 13.934337  26.078703  51.80976  ],[8.034012  7.953376  7.8447046 7.6735954],[0.84773153 0.9252552  1.0225247  1.1599035 ],[8.126295 8.107923 8.089695 8.074124],[0.8090824  0.8441579  0.88169974 0.92264533]
DDK8,A,2e-07,21,True,False,TDD,vanilla,0,[0.13217656 0.20387173 0.30956063 0.45842528],[0.09030943 0.13468343 0.19373421 0.27921247],[22.56754  35.804985 58.27236  92.61848 ],[ 7.4259214 13.621993  27.037128  50.84208  ],[7.990344 7.916851 7.793024 7.596026],[0.9172837  0.99185526 1.0806258  1.2215148 ],[8.111541 8.108097 8.098149 8.079145],[0.84507656 0.87269056 0.9155379  0.9743686 ]
DDK8,A,2e-07,24,True,False,TDD,vanilla,0,[0.1443852  0.2351418  0.3685881  0.51430833],[0.12146398 0.21429043 0.3657189  0.43114647],[ 24.234705  39.335003  67.12127  106.05862 ],[ 8.113469 16.792318 33.326836 62.46153 ],[7.9722137 7.8568435 7.6740847 7.452271 ],[0.90620494 1.052069   1.211607   1.3870215 ],[8.102798 8.079458 8.073869 8.082761],[0.8285165 0.893055  0.9226012 0.9377865]
DDK8,A,2e-07,27,True,False,TDD,vanilla,0,[0.13393599 0.22420599 0.3762524  0.54890305],[0.09133369 0.16323961 0.25672787 0.37807158],[ 24.040407  42.07429   76.38354  118.05256 ],[  9.971103  27.488995  68.04729  112.17888 ],[7.9854255 7.8680754 7.640272  7.3594103],[0.8586467  0.95995617 1.1167303  1.2858386 ],[8.11104  8.084653 8.048851 8.015041],[0.78864    0.83198315 0.884727   0.9329143 ]
DDK8,A,2e-07,33,True,False,TDD,vanilla,0,[0.1649714  0.30977872 0.5092118  0.69613665],[0.12830614 0.22036424 0.3208485  0.37212235],[ 30.465662  62.579746 117.2925   171.20459 ],[ 11.758439  41.108257  91.504265 138.05977 ],[8.072146  7.934017  7.6241655 7.1900964],[0.90158415 1.0185165  1.209811   1.4252892 ],[8.216682  8.2085085 8.163704  8.084707 ],[0.8136454 0.8615523 0.9495743 1.0525955]
DDK8,A,2e-07,36,True,False,TDD,vanilla,0,[0.18563429 0.35626656 0.6177655  0.8477208 ],[0.14035377 0.31961197 0.48886344 0.5193611 ],[ 31.130613  61.87793  122.119255 196.87677 ],[ 13.054664  38.832703  87.00461  149.49817 ],[7.902834  7.717165  7.3446374 7.003931 ],[0.9414285 1.0657954 1.3489448 1.4218224],[8.077505 8.06925  8.089985 8.128924],[0.82759804 0.8323908  0.8334932  0.87066954]
DDK8,A,2e-07,42,True,False,TDD,vanilla,0,[0.22436382 0.46559486 0.7278446  0.9554906 ],[0.18472426 0.59468186 0.52646285 0.5632921 ],[ 33.65154  70.62815 136.26137 202.57925],[ 16.445467  48.532913 114.08342  168.36394 ],[7.72224  7.437121 6.981436 6.486574],[1.0809869 1.3084054 1.503743  1.6166321],[7.927911  7.910005  7.917583  7.9121513],[0.96075475 0.9710648  0.9386558  0.9704687 ]
DDK8,A,4e-07,3,True,False,TDD,vanilla,0,[0.04723215 0.05649928 0.06613381 0.08220457],[0.01442008 0.01971949 0.02668441 0.03655871],[11.641178 13.746639 15.915454 20.05782 ],[2.8531663 4.0467377 5.5209694 9.01423  ],[8.08433   8.0712185 8.05848   8.041038 ],[0.34403852 0.35293636 0.3631382  0.375065  ],[8.140506 8.137633 8.134504 8.131127],[0.34248444 0.35056454 0.35972664 0.36985973]
DDK8,A,4e-07,6,True,False,TDD,vanilla,0,[0.06276583 0.0819166  0.10646205 0.13691694],[0.02114206 0.03197205 0.04623604 0.06323008],[14.718243 18.786858 24.322458 31.72792 ],[ 3.6569653  5.3700285  8.38732   13.485087 ],[8.110279 8.093505 8.072851 8.045089],[0.39613363 0.4296352  0.46804038 0.5094171 ],[8.176272 8.178738 8.180604 8.181811],[0.39123917 0.4205529  0.45303023 0.4878832 ]
DDK8,A,4e-07,9,True,False,TDD,vanilla,0,[0.07442182 0.09997102 0.13584092 0.17560025],[0.03176207 0.04517329 0.06603307 0.08722465],[17.061241 22.562458 30.618355 40.40453 ],[ 3.72317    5.6123953  9.608909  14.536076 ],[8.105125 8.079113 8.044103 8.002558],[0.49276778 0.53755546 0.5866337  0.64040434],[8.184002 8.182483 8.180069 8.177103],[0.4719663  0.5057804  0.54053843 0.5759417 ]
DDK8,A,4e-07,12,True,False,TDD,vanilla,0,[0.09198869 0.13539563 0.1865775  0.24739057],[0.05647165 0.08842211 0.13333946 0.17781189],[20.324001 29.795368 40.886986 57.477806],[ 5.297676  9.862164 14.097    23.835255],[8.056384  8.012586  7.962379  7.8942614],[0.6037679  0.67003727 0.73680365 0.8132747 ],[8.15235  8.154115 8.15547  8.156445],[0.5726108  0.6156969  0.65478444 0.68982166]
DDK8,A,4e-07,15,True,False,TDD,vanilla,0,[0.11009966 0.16781622 0.23059602 0.3205637 ],[0.06717802 0.10085156 0.12572007 0.16163154],[22.792448 35.636753 50.573395 75.271774],[ 7.7848425 16.034386  24.055437  45.22572  ],[7.9551153 7.9060307 7.850008  7.75364  ],[0.61096925 0.6717574  0.7459311  0.8357974 ],[8.066401 8.071935 8.077987 8.082911],[0.5711157  0.6151953  0.66565377 0.7195561 ]
DDK8,A,4e-07,18,True,False,TDD,vanilla,0,[0.12249016 0.19284369 0.27503332 0.3784246 ],[0.06210476 0.09393276 0.12954761 0.16988295],[ 25.946735  44.070248  68.63502  105.66759 ],[ 6.737138 17.427809 36.463165 65.86126 ],[7.962831  7.926961  7.8718786 7.7666035],[0.664932   0.74586964 0.8403988  0.9575035 ],[8.09442  8.127554 8.160606 8.190095],[0.6232103  0.6795312  0.74975705 0.8271956 ]
DDK8,A,4e-07,21,True,False,TDD,vanilla,0,[0.14236706 0.22083898 0.3229854  0.43981522],[0.08229727 0.1270514  0.17843144 0.21300599],[ 28.12547   46.431183  74.3926   113.90837 ],[ 6.8970265 17.785303  42.10694   77.35804  ],[7.865768  7.8197093 7.7170887 7.5445905],[0.74357706 0.8370972  0.95643616 1.0897065 ],[8.028134 8.068816 8.101429 8.12289 ],[0.67326814 0.7159541  0.7663214  0.81699765]
DDK8,A,4e-07,24,True,False,TDD,vanilla,0,[0.16157328 0.24243984 0.38303974 0.5368371 ],[0.10270352 0.12606505 0.196948   0.2632    ],[ 28.130993  43.500683  71.57043  107.72612 ],[ 8.155932 16.679075 35.898937 65.893974],[7.7525196 7.61852   7.3863587 7.120708 ],[0.82738185 0.942842   1.1346686  1.3172193 ],[7.927203  7.8822603 7.847619  7.832544 ],[0.74526685 0.8172085  0.8804765  0.9221472 ]
DDK8,A,4e-07,27,True,False,TDD,vanilla,0,[0.16730842 0.26693255 0.41442472 0.58059406],[0.12516344 0.17759714 0.26312253 0.40115082],[ 31.07978  53.50005  91.8065  139.5726 ],[  9.013995  27.262423  61.95114  106.200226],[7.799873  7.6772203 7.4632    7.203495 ],[0.801488   0.90036356 1.0402123  1.1718359 ],[7.9919696 7.989279  7.998762  8.014314 ],[0.70994437 0.749423   0.7883426  0.81563747]
DDK8,A,4e-07,33,True,False,TDD,vanilla,0,[0.19644913 0.36065984 0.5650838  0.7316412 ],[0.1301769  0.2488464  0.36596027 0.40712574],[ 35.183964  66.33085  116.35977  175.44199 ],[ 10.305292  36.520958  73.52736  119.74289 ],[7.789497  7.590945  7.2375727 6.8028755],[0.80168617 0.96990603 1.2382207  1.5053016 ],[7.995203  7.9802413 7.973531  7.9859047],[0.70891154 0.7746805  0.8564755  0.92781574]
DDK8,A,4e-07,36,True,False,TDD,vanilla,0,[0.18583897 0.306078   0.5087076  0.7246086 ],[0.11293422 0.1788386  0.3169461  0.5115929 ],[ 38.16765   66.404144 115.59714  167.74207 ],[ 12.365339  32.36466   68.08937  108.98114 ],[7.895719  7.7230196 7.328653  6.8101563],[0.94904953 1.0333703  1.2391475  1.483684  ],[8.108352 8.090845 8.035079 7.95603 ],[0.8385771  0.8493455  0.87210375 0.9073687 ]
DDK8,A,4e-07,42,True,False,TDD,vanilla,0,[0.25346172 0.43497533 0.66331184 0.8499922 ],[0.15590987 0.23711711 0.32511476 0.37259397],[ 44.249897  94.74122  173.60164  250.36023 ],[ 14.617428  57.03436  124.112564 171.29512 ],[7.645283  7.4718366 7.0988536 6.642517 ],[0.94592774 1.0739957  1.195519   1.3650389 ],[7.9211125 8.026638  8.094642  8.118456 ],[0.81548744 0.8076006  0.8508136  0.89531356]
DDK8,C,5e-08,3,True,False,TDD,vanilla,0,[0.05289404 0.07087857 0.09103223 0.11695156],[0.02187464 0.03268025 0.04063679 0.05368936],[ 9.157097 12.359544 16.13639  21.60862 ],[2.064322  3.5233994 5.634424  8.892788 ],[8.295177  8.2824745 8.266291  8.243357 ],[0.20065066 0.21204816 0.22557385 0.24218178],[8.326575 8.326315 8.326018 8.325577],[0.19877578 0.20899162 0.22026956 0.2324996 ]
DDK8,C,5e-08,6,True,False,TDD,vanilla,0,[0.07132535 0.11138    0.16661942 0.23876472],[0.03066654 0.0619238  0.09809621 0.14297189],[11.30396  17.974167 28.293022 43.048607],[ 3.0001233  7.0505204 15.674628  29.514112 ],[8.185761  8.146634  8.089794  8.0113535],[0.3059119  0.33227935 0.36618736 0.40780002],[8.230418 8.22319  8.218066 8.215206],[0.29918042 0.32049295 0.3425427  0.3658508 ]
DDK8,C,5e-08,9,True,False,TDD,vanilla,0,[0.09038325 0.1756248  0.26842752 0.37271446],[0.0464698  0.13267092 0.1886391  0.22106197],[14.392498 26.432896 46.51753  72.20657 ],[ 4.0261607 11.983573  27.25515   45.938896 ],[8.198391  8.142077  8.040177  7.8928666],[0.4069332  0.45495093 0.5150452  0.594698  ],[8.254384 8.254124 8.254158 8.25498 ],[0.39488202 0.43240994 0.46764877 0.49863467]
DDK8,C,5e-08,12,True,False,TDD,vanilla,0,[0.10186372 0.1931495  0.3175286  0.46116439],[0.06332302 0.12149521 0.2033267  0.28701332],[16.842598 34.04216  61.977814 97.79408 ],[ 5.315123 18.031063 42.692425 70.48992 ],[8.222844  8.12648   7.9648314 7.7165484],[0.42332357 0.48243496 0.5712417  0.7378653 ],[8.288876  8.277489  8.269999  8.2660885],[0.40042427 0.41886386 0.44892526 0.4908567 ]
DDK8,C,5e-08,15,True,False,TDD,vanilla,0,[0.12557049 0.25379565 0.42716148 0.5475249 ],[0.06600045 0.16540398 0.28459927 0.32589084],[ 20.64808   46.870644  84.05085  127.11513 ],[ 9.4072075 34.089607  63.342297  91.57203  ],[8.207247  8.098791  7.882718  7.5596066],[0.41744137 0.48594555 0.6888181  1.0739464 ],[8.284434 8.291013 8.302465 8.324361],[0.4031638  0.44232005 0.4866336  0.5346952 ]
DDK8,C,5e-08,18,True,False,TDD,vanilla,0,[0.18386964 0.38431615 0.6164146  0.7452638 ],[0.15092558 0.26631188 0.44473398 0.4091361 ],[ 27.122688  69.553825 118.76984  161.57439 ],[ 13.593472  48.605347  81.46961  103.90601 ],[8.076257  7.830871  7.4448333 6.953256 ],[0.5864135 0.7612254 1.0050789 1.3503575],[8.200162 8.199213 8.199512 8.190836],[0.5350562  0.57275265 0.58666337 0.60950494]
DDK8,C,5e-08,21,True,False,TDD,vanilla,0,[0.18742602 0.41394734 0.61314565 0.77837163],[0.11310895 0.27770904 0.34688595 0.368941  ],[ 31.768147  81.690216 133.73141  183.0028  ],[ 15.806227  62.910164  95.70285  117.10536 ],[8.136758  7.819416  7.3936367 6.9727297],[0.5455208 0.8338113 1.178886  1.3634479],[8.273708 8.270968 8.278294 8.289778],[0.4893335 0.5536807 0.6028044 0.6329883]
DDK8,C,5e-08,24,True,False,TDD,vanilla,0,[0.22713983 0.45976302 0.6234205  0.76562446],[0.16476603 0.32318068 0.34161115 0.3604043 ],[ 37.437653  89.241936 139.7144   186.93475 ],[ 21.959715  63.426006  90.54987  118.86128 ],[8.060224  7.6579084 7.255676  6.7415075],[0.6352018 1.0474137 1.2533935 1.5669681],[8.232507 8.229933 8.229175 8.226252],[0.56549513 0.60039735 0.6194327  0.6659933 ]
DDK8,C,5e-08,27,True,False,TDD,vanilla,0,[0.2742316  0.53321207 0.72202474 0.878157  ],[0.2183037  0.38037667 0.41860503 0.52517056],[ 43.517017 104.74873  153.59541  194.4099  ],[ 26.203962  78.459305  97.83276  102.99467 ],[7.9377394 7.4373794 6.943999  6.5866303],[0.71944624 1.229472   1.4177039  1.5338155 ],[8.173424 8.189116 8.193333 8.201783],[0.5681614  0.57618004 0.5760544  0.6105042 ]
DDK8,C,5e-08,33,True,False,TDD,vanilla,0,[0.39743644 0.6735402  0.9102852  1.0675415 ],[0.4076916  0.47526655 0.5369774  0.66482943],[ 63.14237 133.80794 197.93222 239.40234],[ 55.14788   87.974335 122.92749  135.12308 ],[7.8488936 7.1769295 6.7822595 6.3216124],[0.6819462 1.336429  1.3038607 1.5658134],[8.163975 8.166744 8.197453 8.228497],[0.55520767 0.59197205 0.6344895  0.69245917]
DDK8,C,5e-08,36,True,False,TDD,vanilla,0,[0.58862704 0.92188895 1.1764312  1.1640807 ],[0.54037875 0.6215357  0.8431172  0.70189846],[ 95.908134 177.08336  236.83533  264.32678 ],[ 99.58331  112.781654 144.5993   140.77026 ],[7.6964607 6.891417  6.1744604 6.0706606],[0.8840534 1.3770056 1.6377006 1.5526354],[8.201372 8.212413 8.186459 8.202197],[0.5879251 0.6015146 0.5885965 0.6164567]
DDK8,C,5e-08,42,True,False,TDD,vanilla,0,[0.94204926 0.97208834 1.1543453  1.1861836 ],[1.6176348  0.85548466 0.78547317 0.668095  ],[139.02014 173.83861 226.839   263.74683],[188.04726  111.965416 134.91241  148.25542 ],[7.3187847 6.78016   6.1794567 5.556924 ],[1.1578809 1.3415246 1.4844935 1.712285 ],[8.154698 8.128567 8.085518 8.078484],[0.6038881  0.6198292  0.71537834 0.8178851 ]
DDK8,C,2e-07,3,True,False,TDD,vanilla,0,[0.04171831 0.05404905 0.06872009 0.08906364],[0.01135432 0.01701155 0.0249384  0.03589476],[ 9.864091 12.834491 16.430765 21.649141],[2.0644014 3.4393888 5.4406676 8.459245 ],[8.230481 8.216993 8.200702 8.17783 ],[0.16656509 0.17891175 0.19332124 0.20969853],[8.269406 8.268143 8.26673  8.265156],[0.16525045 0.17695566 0.18965855 0.20317249]
DDK8,C,2e-07,6,True,False,TDD,vanilla,0,[0.05746655 0.08822229 0.1317818  0.18754105],[0.01760531 0.03549289 0.06434099 0.10029278],[13.653608 21.004978 32.01861  46.80207 ],[ 3.2374988  7.2479444 14.560176  24.72711  ],[8.232671 8.19233  8.1325   8.048858],[0.24815965 0.28180495 0.32834303 0.3964049 ],[8.289013 8.28343  8.278104 8.273454],[0.23840481 0.2612574  0.2851649  0.3086477 ]
DDK8,C,2e-07,9,True,False,TDD,vanilla,0,[0.07153467 0.11894941 0.19180714 0.2788647 ],[0.02352172 0.04956654 0.0924826  0.13602681],[16.530382 27.900484 46.317543 70.53378 ],[ 3.8453233  9.956892  21.255316  36.279278 ],[8.195214  8.143792  8.055448  7.9268203],[0.31531483 0.36484405 0.43132544 0.5232173 ],[8.265249 8.267987 8.272074 8.276913],[0.30145794 0.33881113 0.3764504  0.4147206 ]
DDK8,C,2e-07,12,True,False,TDD,vanilla,0,[0.08334234 0.15911393 0.26140556 0.37079933],[0.03247382 0.09150111 0.17324232 0.22478439],[19.359138 37.585537 63.219933 95.64439 ],[ 6.4700356 19.526718  37.599464  59.94354  ],[8.19241   8.10154   7.9560714 7.760788 ],[0.36620942 0.44656366 0.5661887  0.7344957 ],[8.275466 8.271283 8.26691  8.262678],[0.34935436 0.39719546 0.44388452 0.48593506]
DDK8,C,2e-07,15,True,False,TDD,vanilla,0,[0.10493751 0.21849133 0.35408154 0.49641114],[0.04275195 0.11875411 0.19212496 0.24063173],[ 23.845016  52.375156  89.92185  132.75322 ],[ 8.725667 29.55987  53.032352 74.677986],[8.097398  7.9473443 7.7011085 7.359822 ],[0.47843373 0.56684065 0.7323209  0.95323986],[8.207965 8.210038 8.215867 8.224112],[0.45113933 0.4856871  0.5191998  0.54643935]
