model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,B,5e-08,3,True,False,TDD,vanilla,0,[0.04150157 0.05849452 0.08153479 0.11362492],[0.01428591 0.02187958 0.03654712 0.05804931],[ 7.899439 11.41374  15.804404 22.301146],[ 2.1650681  3.9460144  6.993621  12.035192 ],[8.275972  8.262264  8.243035  8.2147665],[0.28921843 0.3023046  0.31611857 0.33082682],[8.310018 8.311025 8.311322 8.311014],[0.2866387  0.29886192 0.3112389  0.32331753]
DDK8,B,5e-08,6,True,False,TDD,vanilla,0,[0.06388914 0.11342569 0.1857999  0.28191411],[0.02890509 0.0700604  0.12584463 0.20049779],[10.484027 18.96485  33.106003 53.27856 ],[ 3.5329216  9.192912  20.751854  37.45268  ],[8.149502  8.106081  8.02561   7.8951626],[0.4046022 0.4298083 0.4812883 0.5875269],[8.200852 8.201835 8.201868 8.201473],[0.3916575  0.3997785  0.4085088  0.41598982]
DDK8,B,5e-08,9,True,False,TDD,vanilla,0,[0.07951175 0.17214748 0.30318993 0.45142186],[0.04616082 0.12417407 0.22477132 0.3257909 ],[13.67355  30.714127 59.74736  95.914345],[ 5.019257 19.560942 46.03504  73.96228 ],[8.187567  8.1101675 7.946067  7.664322 ],[0.4547801  0.49196553 0.592783   0.86103535],[8.251503 8.261046 8.269067 8.268886],[0.43901262 0.44828576 0.46303815 0.48474985]
DDK8,B,5e-08,12,True,False,TDD,vanilla,0,[0.11177997 0.26486605 0.4540335  0.5928667 ],[0.06295132 0.18836221 0.305237   0.32391778],[ 17.673363  47.132275  88.435234 131.72784 ],[ 7.82026  32.910263 63.501907 89.68085 ],[8.079251  7.9177923 7.5840535 7.1749506],[0.4500451  0.56233764 0.8708848  1.178342  ],[8.1689005 8.177474  8.178661  8.1839   ],[0.42534238 0.45664805 0.49680933 0.52424616]
DDK8,B,5e-08,15,True,False,TDD,vanilla,0,[0.15412652 0.36283195 0.56805384 0.7126945 ],[0.13317238 0.27727938 0.36872    0.36135072],[ 26.871468  78.100075 133.79549  183.68573 ],[ 15.287933  57.634975  95.93903  120.00961 ],[8.17412   7.858154  7.3289137 6.8028045],[0.57543695 0.82052636 1.2969157  1.5111574 ],[8.301512 8.301376 8.2951   8.286509],[0.51885885 0.5244441  0.5284308  0.55424315]
DDK8,B,5e-08,18,True,False,TDD,vanilla,0,[0.2246224  0.5889362  0.817804   0.91436696],[0.14645089 0.38815197 0.4538068  0.35380852],[ 41.719112 125.48411  190.07347  241.12767 ],[ 31.157122  98.77516  130.74121  153.03966 ],[7.9208565 7.1800056 6.4501348 6.0448165],[0.6130665 1.235101  1.682943  1.6721876],[8.143848 8.165355 8.190139 8.226463],[0.55700666 0.5532856  0.58807176 0.6425339 ]
DDK8,B,5e-08,21,True,False,TDD,vanilla,0,[0.26281658 0.6286547  0.87245095 0.9297869 ],[0.1931328  0.39339325 0.45283562 0.31565323],[ 50.539135 139.90271  199.94398  236.45366 ],[ 40.241528 105.68953  122.53485  124.469536],[7.834708  6.9596767 6.210516  5.7334347],[0.6745609 1.4301171 1.5713818 1.6935558],[8.123272 8.136701 8.135805 8.151181],[0.5637357  0.5555875  0.58310056 0.62311316]
DDK8,B,5e-08,24,True,False,TDD,vanilla,0,[0.3017923  0.64988005 0.8550366  0.9540048 ],[0.28123963 0.50831324 0.47959152 0.3590224 ],[ 61.027237 154.43011  215.95285  259.71384 ],[ 54.439243 126.67499  143.25352  146.1492  ],[7.945024  7.047434  6.34749   6.0029144],[0.7025107 1.4203143 1.7158436 1.4760511],[8.27013  8.258452 8.255481 8.262504],[0.5118271  0.5137656  0.52345896 0.57083213]
DDK8,B,5e-08,27,True,False,TDD,vanilla,0,[0.3544111  0.6995086  0.89228714 0.9761107 ],[0.3033097  0.40057626 0.41902053 0.29384676],[ 64.74908 156.59894 214.51785 248.39899],[ 56.955906 116.5719   131.53499  129.2827  ],[7.8006115 6.758543  6.187024  5.658188 ],[0.72376096 1.578873   1.5680243  1.5798484 ],[8.164666 8.149782 8.144776 8.15001 ],[0.5907433  0.6523984  0.6741813  0.66140956]
DDK8,B,5e-08,33,True,False,TDD,vanilla,0,[0.59811467 0.9899885  1.2457685  1.2466356 ],[0.50799966 0.58612925 0.7106853  0.5540655 ],[112.65999 212.02127 279.3181  295.89798],[ 96.236084 143.23859  151.61015  142.97232 ],[7.5472517 6.4956207 5.837921  5.5704894],[1.0419841 1.6216509 1.6311475 1.527703 ],[8.244222 8.21752  8.208188 8.190938],[0.59182024 0.6487663  0.6651303  0.6921988 ]
DDK8,B,5e-08,36,True,False,TDD,vanilla,0,[0.900141  1.283545  1.4815745 1.310851 ],[0.82830524 1.1046094  1.3721579  0.5233615 ],[167.28606 260.68307 306.84277 316.98468],[132.34656 154.06708 152.2323  138.1383 ],[7.1972523 6.092557  5.344672  5.0548735],[1.3057936 1.6982557 1.6809425 1.5849037],[8.266979 8.223077 8.203336 8.203679],[0.63908565 0.639546   0.6131122  0.6540083 ]
DDK8,B,5e-08,42,True,False,TDD,vanilla,0,[0.9469976 1.1097157 1.2806811 1.2198665],[0.72869414 0.49130946 0.7187873  0.5349309 ],[185.06787 259.48276 317.68967 328.89352],[164.3803  160.48209 169.72455 144.26349],[6.7756414 6.0406756 5.3765254 4.869093 ],[1.5463233 1.5798184 1.5585036 1.5009372],[8.1687   8.187472 8.230034 8.259732],[0.55716753 0.59658355 0.62573683 0.63968205]
