model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.17688408 0.18565887 0.19340412 0.20424645],[0.15143955 0.15662119 0.15595047 0.16448131],[25.410866 27.229404 29.061707 31.225964],[5.690732  6.6338778 7.681637  9.136345 ],[8.22272  8.215772 8.208281 8.199411],[0.19246769 0.19764352 0.20347314 0.21025375],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.3630561  0.48515564 0.59970057 0.6498061 ],[0.42160824 0.7012857  1.02364    0.8095659 ],[36.82078  45.788277 58.01419  73.20376 ],[ 6.1993113  9.479719  17.362644  30.484833 ],[8.013385 7.961205 7.89046  7.801041],[0.6302928 0.7180462 0.8135398 0.9274335],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.9449203 1.1396444 1.4275427 1.9037387],[2.2051399 1.8708081 1.7952026 2.5866644],[ 46.93292   73.873405 120.01524  179.82176 ],[  8.691429  33.011837  75.895676 134.68031 ],[7.607378  7.4438343 7.1480975 6.718988 ],[1.181755  1.3096987 1.5168241 1.7689316],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.1748393  0.18669331 0.19752842 0.21009484],[0.1180298  0.12246201 0.12822893 0.13509129],[28.746466 31.429556 33.977615 36.787773],[11.833338 13.854758 15.921181 18.43705 ],[8.151593 8.146258 8.141321 8.135149],[0.5210746 0.5231339 0.5254039 0.5288796],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.3616272  0.46646354 0.57155657 0.6459852 ],[0.33064157 0.5277972  0.71408    0.78243804],[56.853653 68.81877  82.45082  98.208176],[19.384983 24.126484 31.944561 46.56674 ],[7.862955  7.795357  7.7156677 7.6298847],[0.715122  0.7883379 0.8596843 0.9230357],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.57160246 0.91560113 1.1432545  1.4514644 ],[0.97063607 2.1044347  1.435918   1.6490853 ],[ 70.29887  98.76416 139.25948 191.86287],[ 21.713972  45.98162   81.233635 119.66277 ],[7.6455493 7.417444  7.0356603 6.515144 ],[1.2240747 1.3733374 1.6112299 1.7535754],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.11507716 0.12327089 0.13121542 0.13984871],[0.03290597 0.03625821 0.04016926 0.04513673],[25.510626 27.558857 29.504753 31.667917],[ 6.98722    8.145688   9.2514925 10.757789 ],[8.091109 8.086084 8.080934 8.075789],[0.3616251  0.36288774 0.36411306 0.36579773],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.22091609 0.27693057 0.33696258 0.4202803 ],[0.15392585 0.21502362 0.25225437 0.34769654],[39.871067 49.75718  62.282005 78.42046 ],[ 9.959398 13.363817 20.537903 34.369434],[7.953936  7.9027877 7.837473  7.7549987],[0.69381094 0.7659498  0.8450604  0.9300417 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.31779414 0.49666294 0.7640204  1.0337436 ],[0.27305624 0.5166055  0.9344093  1.3048239 ],[ 49.53026  76.40074 118.04092 171.72672],[  9.681592  32.096775  62.095573 105.87088 ],[7.720478  7.569999  7.306065  6.9247217],[1.1033566 1.2460063 1.4541653 1.7366152],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.25700724 0.27368313 0.2875963  0.30614528],[0.16566145 0.18623273 0.20154294 0.22973883],[25.685862 27.611221 29.635614 32.008774],[3.9751306 4.7584    5.633244  6.939487 ],[8.20912   8.2037525 8.1971035 8.189629 ],[0.13559042 0.13924122 0.14370592 0.14897226],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
