model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK8,A,3e-08,1,False,False,TDD,vanilla,0,[0.17927067 0.18701132 0.1943808  0.20565136],[0.15161346 0.15692583 0.15969034 0.16570827],[25.585554 27.08485  28.849384 30.993074],[5.613812  6.422699  7.5534496 8.81241  ],[8.221397 8.215076 8.208361 8.201934],[0.19290358 0.19837177 0.20459892 0.2109623 ],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK8,A,3e-08,10,False,False,TDD,vanilla,0,[0.35878778 0.47422165 0.6235563  0.6804619 ],[0.40281126 0.6793549  1.2626594  1.0039166 ],[36.841724 45.320675 56.24259  70.15816 ],[ 6.06993   9.215166 16.362276 29.399567],[8.014262 7.968656 7.909018 7.836447],[0.6321075  0.71581566 0.81020594 0.91383797],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK8,A,3e-08,30,False,False,TDD,vanilla,0,[0.9343957 1.1497108 1.469077  1.9077818],[2.2308688 1.6403164 1.8383831 2.5184076],[ 46.39513  73.91079 122.28463 183.47473],[  8.46019   37.134815  82.29097  139.02457 ],[7.626303  7.465565  7.180122  6.7624464],[1.1436944 1.2920674 1.505315  1.7314917],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK8,A,1e-07,1,False,False,TDD,vanilla,0,[0.1758818  0.18526213 0.19544542 0.20831767],[0.11833417 0.1206805  0.12653908 0.13228597],[28.770523 31.023054 33.39467  36.269924],[11.644362  13.3542795 15.432066  17.830748 ],[8.149688 8.144934 8.140481 8.136014],[0.5210157  0.5230545  0.52533555 0.52779543],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK8,A,1e-07,10,False,False,TDD,vanilla,0,[0.36079457 0.46474093 0.56728595 0.63391376],[0.33315223 0.54191744 0.74153596 0.743387  ],[55.93208 67.4516  80.30817 94.55034],[18.792408 23.558928 31.403313 44.336704],[7.873782  7.8123827 7.749703  7.6766863],[0.7090813 0.7754943 0.839987  0.9097896],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK8,A,1e-07,30,False,False,TDD,vanilla,0,[0.57473344 0.89159775 1.1609315  1.5697322 ],[1.0274972 1.8951583 1.4694957 1.7444192],[ 68.93763  96.21544 137.33069 194.25691],[ 21.727613  44.394173  77.891655 128.6054  ],[7.683692  7.4725175 7.075939  6.557459 ],[1.2066671 1.36085   1.6344918 1.801888 ],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK8,A,3e-07,1,False,False,TDD,vanilla,0,[0.11471543 0.12154476 0.12804341 0.13699731],[0.03185918 0.03476148 0.03811031 0.04266629],[25.511486 27.267467 28.971403 31.196701],[ 6.900227   7.9433484  9.120519  10.459379 ],[8.0896015 8.084188  8.079998  8.075891 ],[0.36194614 0.363283   0.3645928  0.36583257],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK8,A,3e-07,10,False,False,TDD,vanilla,0,[0.21960892 0.27439603 0.33245048 0.41520178],[0.1596048  0.22243534 0.26467028 0.3647244 ],[39.529537 49.10272  61.209835 75.950294],[ 9.77294  13.003073 19.63325  32.164703],[7.957118  7.9090095 7.8511105 7.7805176],[0.6923582 0.7665029 0.8438674 0.9254973],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK8,A,3e-07,30,False,False,TDD,vanilla,0,[0.3082667 0.4804115 0.7498754 1.0464109],[0.2662391  0.5092574  0.94249976 1.3711298 ],[ 48.056    72.6458  112.79927 162.53609],[  9.546093  29.856504  60.571377 100.46429 ],[7.735837  7.606419  7.371444  7.0210934],[1.0902187 1.2177567 1.4083459 1.6694056],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK8,C,3e-08,1,False,False,TDD,vanilla,0,[0.25894272 0.2719508  0.28482413 0.30698365],[0.16612418 0.1805484  0.18837464 0.22420911],[25.86882  27.48065  29.446117 31.883667],[3.9263341 4.6502614 5.589521  6.7433143],[8.208198 8.203433 8.198059 8.192507],[0.13569033 0.13926852 0.14354256 0.14830488],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
