model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DDK9,A,3e-08,1,False,False,TDD,vanilla,0,[0.19801496 0.21796179 0.23041508 0.25899228],[0.16729864 0.17586178 0.17879668 0.19563921],[28.969593 33.013763 35.90458  41.184933],[ 7.0480638  9.044717  10.941344  13.068653 ],[8.209486 8.194488 8.185164 8.170134],[0.19325006 0.1991836  0.20552714 0.21359245],[8.330993 8.329849 8.328677 8.327478],[0.19007084 0.19461922 0.19951843 0.20474008]
DDK9,A,3e-08,10,False,False,TDD,vanilla,0,[0.49536666 0.7480276  0.9768198  1.0856669 ],[0.5557256  0.99260867 1.8697642  1.568881  ],[ 51.170265  73.0366    91.994705 116.07088 ],[10.985528 19.423351 31.540634 54.11741 ],[7.9411016 7.824432  7.72697   7.6283784],[0.6509181  0.76963425 0.8822086  0.9995682 ],[8.202797 8.202787 8.20477  8.210616],[0.5486622  0.603959   0.65337497 0.69756156]
DDK9,A,3e-08,30,False,False,TDD,vanilla,0,[2.22032   2.4053044 2.5854242 2.9758334],[6.2425275 5.6100926 3.5635195 4.0655966],[ 87.14482 131.8858  193.57158 264.56064],[ 22.4917    60.634598 107.32551  174.98045 ],[7.353972  7.1254296 6.7392926 6.419374 ],[1.3155998 1.4658034 1.6407685 1.7549286],[7.9305916 7.937528  7.938669  7.9467754],[0.94080913 0.97129947 1.0151565  1.0446168 ]
DDK9,A,1e-07,1,False,False,TDD,vanilla,0,[0.19408455 0.2148082  0.22644515 0.25521976],[0.12995155 0.14185323 0.14224553 0.16006269],[32.06488  36.50051  39.478542 44.88346 ],[13.531466 16.620005 19.280338 22.509205],[8.13803  8.125281 8.118998 8.107107],[0.5232299  0.5265307  0.529685   0.53331363],[8.262489 8.263346 8.264196 8.265036],[0.5146195  0.5150341  0.5156064  0.51633507]
DDK9,A,1e-07,10,False,False,TDD,vanilla,0,[0.45578516 0.67155075 0.8679186  0.99288964],[0.41698194 0.7977391  1.3854322  1.198551  ],[ 68.57991  92.36726 114.65457 140.54352],[22.10449  31.63354  46.614967 68.95995 ],[7.7982945 7.669488  7.5406823 7.414008 ],[0.7402802 0.8414585 0.9325218 1.0056279],[8.144523 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.7096781 0.7541992]
DDK9,A,1e-07,30,False,False,TDD,vanilla,0,[1.1013272 1.5258008 1.7806711 2.1082134],[2.5634792 3.0426936 2.4391425 2.504048 ],[110.83312 156.37689 203.7022  263.06436],[ 38.070343  76.60267  116.278496 161.27663 ],[7.4122405 7.1033735 6.6720824 6.219627 ],[1.3666747 1.4788554 1.7367426 1.6914635],[8.072836  8.0405245 7.9876432 7.931781 ],[0.9680374 1.0242085 1.0625325 1.0865595]
DDK9,A,3e-07,1,False,False,TDD,vanilla,0,[0.13024072 0.14530069 0.15520108 0.177188  ],[0.03809561 0.04491988 0.05083748 0.06157406],[29.241104 32.965485 35.59188  40.67372 ],[ 8.726348  10.861706  12.7930975 15.216848 ],[8.075406 8.062043 8.055777 8.042059],[0.36214358 0.36363453 0.3659389  0.3671825 ],[8.213685 8.214922 8.216152 8.217376],[0.35320455 0.35431996 0.3555505  0.35689354]
DDK9,A,3e-07,10,False,False,TDD,vanilla,0,[0.28547475 0.39962715 0.49841088 0.64867806],[0.19176905 0.28717408 0.3486495  0.49282932],[ 52.152184  72.63115   93.98724  122.60847 ],[13.990838 22.158867 36.42053  58.498318],[7.8877807 7.7874928 7.6933656 7.566992 ],[0.71406865 0.8113894  0.91056395 1.0309964 ],[8.171758 8.174995 8.178912 8.18387 ],[0.61714435 0.66222095 0.70273554 0.73701555]
DDK9,A,3e-07,30,False,False,TDD,vanilla,0,[0.5759707  0.87665284 1.2402785  1.5283921 ],[0.5204117  0.96469784 1.6128316  2.1123521 ],[ 86.72112 128.21538 180.32861 236.39293],[ 23.019514  56.09739   86.370636 133.97603 ],[7.5102525 7.2631755 6.95777   6.6474056],[1.1798774 1.3621421 1.5661465 1.7677784],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316565 1.0154774  1.050955  ]
DDK9,C,3e-08,1,False,False,TDD,vanilla,0,[0.28577936 0.31784102 0.33894813 0.38600567],[0.18024008 0.2025285  0.22525269 0.28167358],[29.267744 33.508305 36.6959   42.215042],[5.0632286 6.704853  8.265923  9.952946 ],[8.194989 8.180153 8.171821 8.155491],[0.13703267 0.14175762 0.14680049 0.15269677],[8.320241 8.321053 8.321877 8.322711],[0.1314964  0.13392694 0.13672413 0.13986447]
DDK9,C,3e-08,10,False,False,TDD,vanilla,0,[0.6174615 1.0326483 1.3780075 1.6912627],[0.5081998 1.144306  1.2419018 1.543218 ],[ 58.585854  91.76703  132.84245  181.98172 ],[ 13.87764   32.985874  66.83784  108.02068 ],[7.912083  7.69445   7.398984  7.0688143],[0.53968245 0.6772183  0.9561955  1.2972704 ],[8.214156 8.200949 8.206897 8.228696],[0.43586653 0.47545165 0.5107417  0.53240734]
DDK9,C,3e-08,30,False,False,TDD,vanilla,0,[1.1355435 1.639113  1.8866092 2.194745 ],[0.9707892 1.2598573 1.6659799 2.1297028],[128.55368 216.34822 264.12714 292.72757],[ 46.637478 111.53982  125.762314 137.81454 ],[7.557345  6.8203444 6.25158   5.858136 ],[0.88378024 1.3048671  1.461476   1.6506819 ],[8.26459   8.2423935 8.200481  8.146262 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
DDK9,C,1e-07,1,False,False,TDD,vanilla,0,[0.17904073 0.20013694 0.21524975 0.24462917],[0.08626809 0.09386846 0.10029339 0.11193949],[30.42281  34.789246 38.09842  43.640644],[ 8.176678 10.623846 12.759595 14.823931],[8.161572 8.144626 8.134088 8.115658],[0.20262437 0.20596685 0.20990077 0.21376732],[8.287666  8.286729  8.285783  8.2848215],[0.20094848 0.20314613 0.20554835 0.20814276]
DDK9,C,1e-07,10,False,False,TDD,vanilla,0,[0.3759001  0.56501204 0.75617975 0.9685728 ],[0.15067376 0.23057151 0.33045724 0.48533878],[ 72.025154 109.52346  149.74649  193.91643 ],[15.123848 32.95495  59.343224 91.818985],[7.8566628 7.6361527 7.3421187 6.947008 ],[0.48994422 0.58625805 0.74822575 1.0753133 ],[8.228059 8.225114 8.221141 8.218307],[0.4063242  0.44373652 0.4743657  0.49637356]
