model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DFTGRID,A,3e-08,1,False,False,TDD,vanilla,0,[3.221579  3.1966736 3.1892958 3.190607 ],[2.401875  2.3308134 2.3235378 2.3555014],[569.8199  570.0364  569.2351  569.70447],[266.79028 266.8725  266.02106 266.76398],[7.3316584 7.3315773 7.328558  7.325821 ],[0.19616243 0.20016187 0.20508991 0.21244922],[8.330993 8.329848 8.328677 8.327477],[0.19007078 0.19461934 0.1995183  0.20473996]
DFTGRID,A,3e-08,10,False,False,TDD,vanilla,0,[9.431184 9.666209 9.781541 8.269259],[13.200326 14.761785 19.058552 10.935448],[892.49524 890.8603  891.34625 894.1032 ],[337.27283 323.04822 315.65573 311.99362],[6.1476545 6.154399  6.150401  6.1435018],[1.0712535 1.0599722 1.0974164 1.1780157],[8.202798 8.202786 8.20477  8.210615],[0.5486621  0.6039589  0.6533752  0.69756144]
DFTGRID,A,3e-08,30,False,False,TDD,vanilla,0,[20.927876 17.288406 14.106248 12.920611],[63.453197 39.873497 24.451036 17.61113 ],[898.87134 899.79156 905.0776  909.6807 ],[358.54675 352.18045 360.28232 376.5456 ],[5.786785  5.7970514 5.8337083 5.8741674],[1.4474894 1.4036741 1.4092534 1.4867269],[7.93059   7.937528  7.9386687 7.9467754],[0.9408091 0.9712996 1.0151565 1.0446167]
DFTGRID,A,1e-07,1,False,False,TDD,vanilla,0,[2.875039  2.8634179 2.8598635 2.845723 ],[1.8490447 1.8480442 1.8266089 1.814865 ],[513.3696  512.6665  513.51526 512.63873],[272.68665 272.75906 272.8147  272.11942],[7.2292495 7.2291937 7.2312984 7.2329197],[0.5312983  0.5314635  0.53076255 0.5326911 ],[8.262489 8.263346 8.264196 8.265036],[0.51461935 0.5150343  0.51560664 0.5163352 ]
DFTGRID,A,1e-07,10,False,False,TDD,vanilla,0,[7.0124474 7.337306  7.6097865 7.082737 ],[ 7.3266063  9.218715  11.184314   8.995149 ],[937.37164 931.7657  926.17944 922.3247 ],[405.10596 397.25476 390.82172 387.00485],[6.121579  6.135675  6.144147  6.1537075],[1.1953864 1.2118529 1.2332655 1.2363037],[8.144522 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.709678  0.7541991]
DFTGRID,A,1e-07,30,False,False,TDD,vanilla,0,[12.952057 11.037989 14.107914 11.513122],[50.383198 20.916342 45.670914 24.455027],[967.7018  938.7944  909.06494 884.8257 ],[436.6872  393.59607 360.56113 350.11032],[5.730944  5.7244015 5.7032456 5.62605  ],[1.6083819 1.5738019 1.5163339 1.5074131],[8.072836  8.0405245 7.987643  7.931782 ],[0.9680374 1.0242087 1.0625325 1.0865595]
DFTGRID,A,3e-07,1,False,False,TDD,vanilla,0,[2.2550735 2.2510471 2.2555866 2.249771 ],[0.89852965 0.8981015  0.91052455 0.9029797 ],[557.3586  557.15753 558.6076  558.03534],[284.19458 283.94437 285.23148 283.9677 ],[7.129584  7.13062   7.1321    7.1363564],[0.4086618  0.41003996 0.4115814  0.41265705],[8.213686 8.214922 8.216152 8.217375],[0.3532045  0.35431996 0.35555035 0.35689348]
DFTGRID,A,3e-07,10,False,False,TDD,vanilla,0,[4.955672  5.138947  5.0371456 5.1444054],[3.9170015 4.7831287 4.442863  4.8850746],[894.9318 900.7385 905.4165 911.4908],[325.29514 324.94748 326.84738 331.94812],[6.0025163 6.014658  6.0197453 6.0223565],[0.91831815 0.9748034  1.0412774  1.110708  ],[8.171758 8.174995 8.178912 8.183869],[0.61714447 0.66222084 0.70273554 0.7370155 ]
DFTGRID,A,3e-07,30,False,False,TDD,vanilla,0,[5.7605653 5.9685755 6.2989044 6.4220796],[5.746802  6.612747  7.52968   7.7890787],[903.87164 909.78076 917.8561  929.8551 ],[353.2298  345.36636 348.68182 366.47003],[5.668146  5.7638593 5.8300433 5.8403816],[1.348135  1.3792204 1.4001223 1.4202452],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316577 1.0154774  1.0509552 ]
DFTGRID,C,3e-08,1,False,False,TDD,vanilla,0,[4.4540033 4.4530144 4.4191756 4.418618 ],[2.6684651 2.7623808 2.7294304 2.7284794],[565.61444 565.2132  565.6221  566.1084 ],[206.86555 206.65677 206.28343 208.0633 ],[7.2167645 7.2148943 7.2171745 7.2211385],[0.18461795 0.18698767 0.19062275 0.19420807],[8.320241 8.321053 8.321876 8.322711],[0.13149643 0.13392696 0.13672414 0.13986434]
DFTGRID,C,3e-08,10,False,False,TDD,vanilla,0,[8.706228  9.548941  9.1148205 8.513893 ],[7.1637673 9.499281  7.966605  6.7302275],[948.55994 944.7236  948.6774  956.6883 ],[292.55194 287.14682 285.88144 290.4738 ],[5.6979284 5.7071033 5.7348957 5.7562213],[1.1105412 1.100639  1.1127058 1.1594259],[8.214155 8.200949 8.206897 8.228696],[0.43586653 0.4754516  0.5107417  0.5324073 ]
DFTGRID,C,3e-08,30,False,False,TDD,vanilla,0,[7.313849 7.287036 7.786652 8.590917],[5.7718625 5.1573753 6.4461045 8.979318 ],[900.9189 895.7006 899.3105 885.3382],[315.12158 317.37854 302.97723 280.0607 ],[5.137673  5.1798687 5.134009  5.209724 ],[1.5747879 1.5306822 1.5613962 1.4035084],[8.26459   8.2423935 8.200481  8.146261 ],[0.59722245 0.63432664 0.6843038  0.7340101 ]
