model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DFTGRID,B,5e-08,3,True,False,TDD,vanilla,0,[4.688859  4.708891  4.789148  4.8333025],[1.6968169 1.7117068 1.8530507 1.8055209],[961.0031  962.23663 963.3873  965.59265],[312.7946  312.54483 312.30505 312.70895],[6.2012997 6.2109404 6.22472   6.2379494],[1.1406165 1.1296377 1.1007386 1.0894232],[8.310017 8.311026 8.311322 8.311014],[0.28663868 0.2988619  0.3112389  0.3233176 ]
DFTGRID,B,5e-08,6,True,False,TDD,vanilla,0,[5.6887536 5.7635126 5.553278  5.497229 ],[2.4847853 2.844397  2.5609312 2.6017175],[964.29266 965.2288  965.42413 966.93744],[321.6969  317.49655 315.71817 310.5379 ],[5.3921833 5.397725  5.41561   5.423623 ],[1.2764791 1.2580456 1.2230392 1.1929594],[8.200852 8.201834 8.201867 8.201473],[0.39165744 0.3997784  0.40850878 0.41598982]
DFTGRID,B,5e-08,9,True,False,TDD,vanilla,0,[5.4026756 5.4222584 5.480755  5.597543 ],[2.8506405 2.7328575 3.121862  3.152055 ],[950.5768  957.45795 964.74396 968.21875],[289.01074 290.01016 289.26575 291.35568],[5.152439  5.1472263 5.1357274 5.1308923],[1.0815452 1.1097455 1.1168177 1.1361166],[8.251503 8.261046 8.269066 8.268887],[0.43901262 0.4482858  0.4630382  0.48474985]
DFTGRID,B,5e-08,12,True,False,TDD,vanilla,0,[5.8810673 6.101876  5.851731  5.6500335],[2.9518502 4.228334  3.4226246 2.857425 ],[908.4444  913.5691  916.44763 920.6027 ],[234.91159 239.31299 247.51541 260.04874],[4.751939  4.7454967 4.764607  4.8280497],[1.0151566 1.0581765 1.1021512 1.1421751],[8.1689   8.177473 8.178662 8.1839  ],[0.4253424  0.45664796 0.4968093  0.52424604]
DFTGRID,B,5e-08,15,True,False,TDD,vanilla,0,[4.9860263 4.9003353 4.9732614 5.047117 ],[3.0558932 2.565186  2.7656882 2.8147862],[876.9872 877.7946 880.4289 882.1736],[243.10037 235.84059 225.14201 219.82   ],[4.8138757 4.8329735 4.844782  4.858955 ],[1.0642892 1.0775734 1.0534291 1.0716578],[8.301512 8.301375 8.295098 8.286509],[0.51885885 0.52444416 0.52843076 0.55424315]
DFTGRID,B,5e-08,18,True,False,TDD,vanilla,0,[6.135368  6.1337056 5.8524694 5.917025 ],[3.423534  3.4512038 3.1740766 3.5626838],[952.9283  939.8136  928.48065 934.6163 ],[274.31897 267.90097 271.12604 292.03766],[4.5373454 4.5709605 4.646847  4.7694793],[1.133029  1.1033041 1.1237545 1.1678512],[8.143848 8.165356 8.190139 8.226463],[0.55700666 0.5532855  0.5880716  0.642534  ]
DFTGRID,B,5e-08,21,True,False,TDD,vanilla,0,[5.3821697 5.794643  5.9885063 5.766968 ],[2.4217525 3.0487123 3.4555576 2.9196804],[891.32306 881.3946  864.91296 853.8315 ],[274.63315 248.3424  218.43413 197.64642],[4.640927  4.6854534 4.6890554 4.6859937],[1.2161721 1.1385622 1.168809  1.2027011],[8.123272 8.136701 8.135804 8.15118 ],[0.5637358  0.5555874  0.58310044 0.6231132 ]
DFTGRID,B,5e-08,24,True,False,TDD,vanilla,0,[5.1694613 5.4021087 5.3389916 5.157754 ],[2.983143  4.2016635 3.2842116 2.4066133],[887.0069  880.09045 878.42633 883.33575],[258.55728 255.00266 253.7896  257.71133],[4.937885  4.9161663 4.878848  4.8578224],[1.2168806 1.1804603 1.1523767 1.1795981],[8.27013  8.258452 8.255481 8.262504],[0.51182705 0.51376563 0.5234589  0.5708323 ]
DFTGRID,B,5e-08,27,True,False,TDD,vanilla,0,[6.078875  6.2810516 6.169414  6.10867  ],[4.217715  4.836337  4.4832244 3.9153016],[886.0427  899.69653 913.5718  918.3365 ],[270.382   272.3554  266.08322 255.77396],[4.8551197 4.8568707 4.79797   4.7800364],[1.1793516 1.198954  1.1400998 1.0918164],[8.164666 8.149782 8.144778 8.15001 ],[0.5907433  0.65239847 0.6741813  0.6614096 ]
DFTGRID,B,5e-08,33,True,False,TDD,vanilla,0,[5.586373  5.912039  5.6570983 5.710825 ],[4.4175725 4.562497  3.1388333 3.6528356],[873.5597 862.5193 856.3855 856.3043],[241.14511 243.94998 242.11325 228.03723],[4.7410984 4.737684  4.6777754 4.7634687],[1.2263651 1.2089314 1.2414088 1.2584676],[8.244221 8.21752  8.208188 8.190938],[0.59182    0.64876616 0.66513026 0.6921987 ]
