model,cm,ds,ms,is_gen,is_U2D,scenario,noise_type,noise_degree,nmse_mean,nmse_std,mse_mean,mse_std,se_mean,se_std,se0_mean,se0_std
DFTGRID,A,3e-08,1,False,False,TDD,phase,10.0,[0.9515138 0.9509959 0.9500095 0.9486969],[0.7516392  0.7517891  0.75154614 0.7523797 ],[279.37628 279.7314  279.45868 279.37347],[236.82047 236.9763  236.8759  237.27666],[8.171124 8.169496 8.167696 8.167151],[0.19655329 0.20071508 0.2054562  0.21073735],[8.330993 8.329848 8.328677 8.327477],[0.19007078 0.19461934 0.1995183  0.20473996]
DFTGRID,A,3e-08,10,False,False,TDD,phase,10.0,[5.875602  5.75266   5.5326633 4.529951 ],[9.162883 8.769642 9.369961 5.241744],[596.2883  594.33966 594.21783 596.20703],[305.51178 293.60858 286.21756 283.8199 ],[7.0425158 7.0399346 7.029611  7.008687 ],[1.2626797 1.2499282 1.2649504 1.3227893],[8.202798 8.202786 8.20477  8.210615],[0.5486621  0.6039589  0.6533752  0.69756144]
DFTGRID,A,3e-08,30,False,False,TDD,phase,10.0,[12.55787    9.889997   7.8029957  7.1818614],[42.973816 26.876892 14.972496 10.052936],[596.1386  595.12146 601.2414  605.9278 ],[349.6112  345.64944 357.71463 374.35834],[6.711438  6.753376  6.778107  6.7784286],[1.3981581 1.3156371 1.3333145 1.4533676],[7.93059   7.937528  7.9386687 7.9467754],[0.9408091 0.9712996 1.0151565 1.0446167]
DFTGRID,A,1e-07,1,False,False,TDD,phase,10.0,[0.8037537  0.8023878  0.8016641  0.80120337],[0.7445401 0.7442806 0.7450658 0.7431954],[222.78584 222.40453 222.58058 222.4893 ],[228.56325 228.21107 228.71588 228.40034],[8.092847  8.0938425 8.095097  8.095484 ],[0.5202219 0.5206638 0.5217396 0.5223485],[8.262489 8.263346 8.264196 8.265036],[0.51461935 0.5150343  0.51560664 0.5163352 ]
DFTGRID,A,1e-07,10,False,False,TDD,phase,10.0,[4.3022237 4.384613  4.41458   4.1057177],[4.364193 5.012012 5.677647 4.481668],[635.56885 631.05676 626.6439  622.5203 ],[346.06442 339.71262 335.71133 333.63272],[6.96306   6.9641423 6.9660296 6.970499 ],[1.3712722 1.3956133 1.4134344 1.4128435],[8.144522 8.146372 8.146507 8.145758],[0.6222944 0.6648694 0.709678  0.7541991]
DFTGRID,A,1e-07,30,False,False,TDD,phase,10.0,[8.900064  6.7507057 9.259409  6.9573755],[40.84972  14.909102 35.872337 18.065811],[657.9953  627.00037 598.8465  574.58514],[397.38953 354.47546 323.27783 313.96545],[6.602469  6.627223  6.6163344 6.5190716],[1.6210428 1.63066   1.5882117 1.5856984],[8.072836  8.0405245 7.987643  7.931782 ],[0.9680374 1.0242087 1.0625325 1.0865595]
DFTGRID,A,3e-07,1,False,False,TDD,phase,10.0,[0.88862664 0.8883708  0.88827705 0.889607  ],[0.72107714 0.7205916  0.7211223  0.7219971 ],[271.6323  271.91312 272.07422 272.4795 ],[246.07794 245.7094  245.71568 245.82   ],[8.046814 8.048358 8.049907 8.050523],[0.3639786  0.36614355 0.36659566 0.3684773 ],[8.213686 8.214922 8.216152 8.217375],[0.3532045  0.35431996 0.35555035 0.35689348]
DFTGRID,A,3e-07,10,False,False,TDD,phase,10.0,[3.045872  3.1433172 3.0742028 3.103129 ],[2.4805882 2.9252555 2.695993  2.7924376],[594.62006 598.64056 603.75494 609.36487],[295.26166 294.1826  296.76144 302.29547],[6.93331  6.943613 6.946766 6.938943],[1.0412512 1.1062853 1.1819588 1.263087 ],[8.171758 8.174995 8.178912 8.183869],[0.61714447 0.66222084 0.70273554 0.7370155 ]
DFTGRID,A,3e-07,30,False,False,TDD,phase,10.0,[3.4862766 3.5793955 3.7619123 3.8041298],[3.6522448 4.0706625 4.511514  4.5865   ],[604.14185 611.5024  619.14056 628.04254],[330.31897 327.4123  338.00366 359.83115],[6.6695433 6.745711  6.783709  6.790442 ],[1.3688272 1.3948708 1.4688087 1.515699 ],[8.039328 8.043646 8.03752  8.038265],[0.90889144 0.95316577 1.0154774  1.0509552 ]
DFTGRID,C,3e-08,1,False,False,TDD,phase,10.0,[1.2002175 1.1935192 1.1888038 1.1915715],[0.82547987 0.81196    0.8008386  0.81849134],[277.78732 277.881   277.91666 278.24423],[192.50069 192.17163 192.40428 192.74129],[8.069099 8.070207 8.070889 8.071867],[0.18088426 0.18297385 0.18422475 0.18616703],[8.320241 8.321053 8.321876 8.322711],[0.13149643 0.13392696 0.13672414 0.13986434]
