family,checkpoint_sha256,seed,sample_id,cm,ds,ms,val_index,antenna,rel_A_fp64,rel_B_fp64,rel_full_fp64,g1,g2,precision
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant00,A,3e-08,1,900,0,2.488393629e-15,4.542046033e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant01,A,3e-08,1,900,1,2.401876653e-15,4.02828187e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant02,A,3e-08,1,900,2,2.424081614e-15,2.799885036e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant03,A,3e-08,1,900,3,2.525738956e-15,4.774493634e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant04,A,3e-08,1,900,4,2.253717771e-15,5.751096777e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant05,A,3e-08,1,900,5,2.156397968e-15,3.261761991e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant06,A,3e-08,1,900,6,2.338598333e-15,2.77088967e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant07,A,3e-08,1,900,7,2.324170803e-15,3.412880801e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant08,A,3e-08,1,900,8,2.335712104e-15,2.639142518e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant09,A,3e-08,1,900,9,2.215342474e-15,3.589045498e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant10,A,3e-08,1,900,10,2.074575382e-15,2.496705852e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant11,A,3e-08,1,900,11,2.1083697e-15,4.132616718e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant12,A,3e-08,1,900,12,2.220252712e-15,3.800720908e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant13,A,3e-08,1,900,13,2.157737757e-15,4.689980572e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant14,A,3e-08,1,900,14,1.288445628e-15,3.724072924e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant15,A,3e-08,1,900,15,1.992388298e-15,6.280275284e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant16,A,3e-08,1,900,16,2.578197449e-15,2.555917076e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant17,A,3e-08,1,900,17,2.703114272e-15,3.17670444e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant18,A,3e-08,1,900,18,2.751425903e-15,3.861635439e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant19,A,3e-08,1,900,19,2.418326078e-15,3.25316963e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant20,A,3e-08,1,900,20,2.479475765e-15,2.516731171e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant21,A,3e-08,1,900,21,2.431175526e-15,4.090564589e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,cmA_ds030_ms001_vidx0900_ant22,A,3e-08,1,900,22,2.616507046e-15,4.804923543e-16,0,0.675876081,0.3655928373,model_and_extraction_float64
