module,param_name,count
gates,model.gate_mix,1
gates,model.gate_graph,1
gates,model.gate_backcast,1
gates,model.gate_split,1
denoiser,model.denoiser.encoder.0.0.weight,72
denoiser,model.denoiser.encoder.0.0.bias,4
denoiser,model.denoiser.encoder.0.1.weight,4
denoiser,model.denoiser.encoder.0.1.bias,4
denoiser,model.denoiser.encoder.1.0.weight,288
denoiser,model.denoiser.encoder.1.0.bias,8
denoiser,model.denoiser.encoder.1.1.weight,8
denoiser,model.denoiser.encoder.1.1.bias,8
denoiser,model.denoiser.decoder.0.0.weight,288
denoiser,model.denoiser.decoder.0.0.bias,4
denoiser,model.denoiser.decoder.0.1.weight,4
denoiser,model.denoiser.decoder.0.1.bias,4
denoiser,model.denoiser.decoder.1.0.weight,72
denoiser,model.denoiser.decoder.1.0.bias,2
denoiser,model.denoiser.decoder.1.1.weight,2
denoiser,model.denoiser.decoder.1.1.bias,2
denoiser,model.denoiser.post_processor.weight,768
denoiser,model.denoiser.post_processor.bias,16
denoiser,model.denoiser.post_bn.weight,16
denoiser,model.denoiser.post_bn.bias,16
spectral_operator,model.operator.gain_real,64
spectral_operator,model.operator.gain_imag,64
spectral_operator,model.operator.raw_radius,16
spectral_operator,model.operator.raw_delta,16
spectral_operator,model.operator.context_norm.weight,16
spectral_operator,model.operator.context_norm.bias,16
spectral_operator,model.operator.modulator.0.weight,1024
spectral_operator,model.operator.modulator.0.bias,64
spectral_operator,model.operator.modulator.2.weight,8192
spectral_operator,model.operator.modulator.2.bias,128
spectral_operator,model.operator.pole_modulator.0.weight,1024
spectral_operator,model.operator.pole_modulator.0.bias,64
spectral_operator,model.operator.pole_modulator.2.weight,2048
spectral_operator,model.operator.pole_modulator.2.bias,32
reweighting,model.arl.mlp.0.weight,76800
reweighting,model.arl.mlp.0.bias,128
reweighting,model.arl.mlp.2.weight,76800
reweighting,model.arl.mlp.2.bias,600
mixer,model.shared_mixer.norm.weight,600
mixer,model.shared_mixer.norm.bias,600
mixer,model.shared_mixer.conv.weight,2400
mixer,model.shared_mixer.conv.bias,600
decomposition,model.decomposition.mask,300
TOTAL,*,173190
