angle_index,angle_rad,median,q25,q75,p05,p95,mean,n_rows,family,seed,checkpoint_sha256,stride,grid,statistic
0,3.1415927410125732,4.9394917488098145,4.026158928871155,6.064538359642029,2.0239392876625057,7.750545620918275,5.040690879914219,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
1,-3.117048978805542,4.926869630813599,4.053569912910461,6.0033992528915405,2.031027579307556,7.6657835960388185,5.012030797255812,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
2,-3.09250545501709,4.867760181427002,4.036160230636597,5.89042866230011,2.0626893162727353,7.510853576660157,4.937959600001298,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
3,-3.0679616928100586,4.766990661621094,3.989185333251953,5.725786924362183,2.0986835956573486,7.293126821517944,4.82399806369303,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
4,-3.0434179306030273,4.648655414581299,3.923097789287567,5.52362847328186,2.1058115720748902,7.00821328163147,4.678989453161894,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
5,-3.018874168395996,4.508079767227173,3.844247341156006,5.294958710670471,2.133742606639862,6.649064469337463,4.514236382588882,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
6,-2.994330644607544,4.349977493286133,3.7665831446647644,5.052435278892517,2.1248831272125246,6.24032895565033,4.341799655614627,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
7,-2.9697868824005127,4.184710264205933,3.698681950569153,4.810866713523865,2.1142322421073914,5.822030186653137,4.172528029103522,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
8,-2.9452431201934814,4.020029783248901,3.641883373260498,4.5626221895217896,2.126117706298828,5.4329749107360845,4.015096534990395,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
9,-2.9206995964050293,3.8695874214172363,3.5851210355758667,4.340800762176514,2.131392502784729,5.18835780620575,3.876598098649195,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
