family,checkpoint_sha256,seed,K_modes,q,c,M,eps,trial,bound,true_error,ratio_bound_over_true,tight_diag,delta_hat_Z1,noise_gain_2,correction_norm,violation,precision
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,0,24.53354836,6.39030838,3.839180708,4.973416805,5.607392311,1.93857348,4.973283768,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,1,20.44159317,6.434993267,3.17663002,5.429403305,4.298077583,1.555247426,5.425233841,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,2,25.73318863,6.505216599,3.955777407,5.162810326,5.87553978,2.21266222,5.176387787,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,3,26.85128021,6.411335945,4.188094616,5.155858517,6.180747032,2.489092827,5.172194958,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,4,30.04408073,6.36678791,4.718875885,5.736277103,6.953007698,2.554116964,5.739216328,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,5,26.19993401,6.371524811,4.112035275,5.360280991,5.947110176,2.285821676,5.377149582,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,6,29.04166222,6.324892998,4.591644764,5.921412945,6.643043041,2.123971224,5.926948071,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,7,24.54908943,6.011784554,4.083494663,5.823824406,5.293849945,2.598505497,5.823494434,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,8,34.27347183,6.312059879,5.429839611,6.277417183,8.039793015,2.649292707,6.272166729,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,9,36.59951019,6.283081055,5.825089455,6.62301302,8.629008293,2.648748398,6.611709595,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,10,38.94500732,5.669014454,6.869801998,10.75294018,7.886012554,4.723595142,10.7628088,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,11,20.77238083,6.241868019,3.3279109,5.052565575,4.443442822,2.186621666,5.05300808,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,12,27.71448898,6.405889511,4.326407433,5.463335991,6.351274014,2.467592239,5.467682838,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,13,28.57720947,6.407842636,4.459723949,6.21415329,6.393868923,2.360232115,6.222984314,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,14,28.49925041,6.318380356,4.510530949,4.322284698,6.985518932,1.834718466,4.327328205,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,15,37.84915161,6.215214252,6.089757919,6.436696529,9.060353279,2.540040255,6.443626881,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,16,23.83175468,6.263568401,3.804820776,4.111840725,5.639703751,2.099848032,4.108165264,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,17,24.81193352,6.409106731,3.87135601,5.579790115,5.474369049,2.297882318,5.57903862,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,18,40.51553345,5.549241066,7.301094532,9.679121971,8.675003052,4.655239105,9.696115494,0,fp32
reported,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,42,1,0.5,0.1,3.37173295,0.337173295,19,29.03956985,6.206088543,4.679206371,5.020355225,6.871140957,2.545912981,5.013503551,0,fp32
